 Begin Bound-State Code

 INSTRUCTION : OUT 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3                           


 INSTRUCTION : ROT 0 0 1                                                                       


 INSTRUCTION : PARITY +1                                                                       


 INSTRUCTION : POT SPNOFF                                                                      

 **** Calculate multichannel bound-states ****
 

 Subroutine POT for atom atom Collisions has been called.  POT Currently Setup For:
     LA2= 2     SA2= 1     IA2= 3     LB2= 0     SB2=JB2= 1     IB2= 3

 Parity of atom A ((-1)**IPARA):-1     Parity of atom B ((-1)**IPARB): 1


 LMOL=.FALSE.  Therefore Scattering Calculations will be done in the Hund's case(e) representation.

 IDENT=.TRUE.  This Program Assumes that you have Identical Nuclei dissociating to Different Fragment
Electronic States that are g/u symmetrized.
 
 dipole strength:    8.93800000000000     


  The ZERO of Energy is taken at the BARYCENTER of the JA2=  1  atom plus the  2S atom.
     USE FA2_ZERO and FB2_ZERO to shift to a Hyperfine ASYMPTOTE and USE EZERO for an arbitrary shift relative to an asymptote


  
      NMX =                   216
       E0 =   6.312104876887246E-006  a0^{-2} to a.u.
  HARTREE =    219474.630680000       a.u. to cm^{-1}
      GHz =    6579683.90001994       a.u. to GHz

 INSTRUCTION : DIAG 100 5000 2                                                                 

 100.000 -1.374954447076E+00 -1.369856237970E+00 -3.620949315937E-02 -2.403737117164E-02  1.251896396607E+00  2.616207767987E+00  2.617747801767E+00  2.345405335977E+02  2.345421011137E+02  2.355718489650E+02  2.372132891283E+02  2.380548525654E+02  2.380627546326E+02  2.395048926453E+02  2.395835219121E+02  2.395926055746E+02  2.406082550190E+02  2.408759880595E+02  2.408927505347E+02
 102.000 -1.297326003112E+00 -1.291932289542E+00 -3.289151245034E-02 -1.996817895364E-02  1.179402492268E+00  2.466006691392E+00  2.467635931231E+00  2.347148736554E+02  2.347165270065E+02  2.356847792062E+02  2.372353078665E+02  2.380280842147E+02  2.380364386466E+02  2.393921211870E+02  2.394662734622E+02  2.394759126549E+02  2.404320010764E+02  2.406872879053E+02  2.407047871815E+02
 104.000 -1.225769487274E+00 -1.220070571734E+00 -3.004343453825E-02 -1.633867357812E-02  1.112241333732E+00  2.327145789378E+00  2.328866826805E+00  2.348760691895E+02  2.348778121894E+02  2.357891659195E+02  2.372557640927E+02  2.380034183972E+02  2.380122409740E+02  2.392879010649E+02  2.393579986474E+02  2.393682169195E+02  2.402690641153E+02  2.405128778884E+02  2.405311124927E+02
 106.000 -1.159706697101E+00 -1.153692969717E+00 -2.760016292739E-02 -1.308324164527E-02  1.049939222100E+00  2.198579046363E+00  2.200394420363E+00  2.350253314997E+02  2.350271680715E+02  2.358857992720E+02  2.372747867498E+02  2.379806454961E+02  2.379899520191E+02  2.391914422910E+02  2.392578416472E+02  2.392686629204E+02  2.401182110054E+02  2.403514339335E+02  2.403704002435E+02
 108.000 -1.098625007323E+00 -1.092286976203E+00 -2.550695777405E-02 -1.014664561159E-02  9.920715213795E-01  2.079374149286E+00  2.081286338083E+00  2.351637403781E+02  2.351656745562E+02  2.359753832816E+02  2.372924927202E+02  2.379595807110E+02  2.379693869708E+02  2.391020409968E+02  2.391650432080E+02  2.391764917242E+02  2.399783438994E+02  2.402017767376E+02  2.402214690027E+02
 110.000 -1.042068777413E+00 -1.035397100606E+00 -2.371765422470E-02 -7.482244107523E-03  9.382569457446E-01  1.968698336657E+00  1.970709749270E+00  2.352922604458E+02  2.352942963790E+02  2.360585465823E+02  2.373089880063E+02  2.379400606645E+02  2.379503824062E+02  2.390190686590E+02  2.390789281072E+02  2.390910283647E+02  2.398484832145E+02  2.400628536237E+02  2.400832640042E+02
 112.000 -9.896320301062E-01 -9.826175491134E-01 -2.219321200347E-02 -5.050543562693E-03  8.881525776796E-01  1.865806223142E+00  1.867919190727E+00  2.354117552143E+02  2.354138971679E+02  2.361358516806E+02  2.373243687994E+02  2.379219405340E+02  2.379327934195E+02  2.389419628332E+02  2.389988944616E+02  2.390116711381E+02  2.397277530137E+02  2.399337229498E+02  2.399548415722E+02
 114.000 -9.409521918643E-01 -9.335859666232E-01 -2.090053024829E-02 -2.818015125014E-03  8.414495166141E-01  1.770029295026E+00  1.772246062032E+00  2.355229992204E+02  2.355252515790E+02  2.362078029343E+02  2.373387224446E+02  2.379050916208E+02  2.379164911883E+02  2.388702191614E+02  2.389244045797E+02  2.389378824376E+02  2.396153684152E+02  2.398135406751E+02  2.398353557024E+02
 116.000 -8.957047239829E-01 -8.879780692149E-01 -1.981147557539E-02 -7.561248443292E-04  7.978690720828E-01  1.680766823176E+00  1.683089538356E+00  2.356266885271E+02  2.356290557973E+02  2.362748534510E+02  2.373521283105E+02  2.378893992803E+02  2.379013609005E+02  2.388033844571E+02  2.388549771111E+02  2.388691808846E+02  2.395106247158E+02  2.397015487523E+02  2.397240464680E+02
 118.000 -8.535985034082E-01 -8.455030261940E-01 -1.890208220062E-02  1.159464070751E-03  7.571594277711E-01  1.597477982065E+00  1.599908689369E+00  2.357234498335E+02  2.357259366460E+02  2.363374110667E+02  2.373646585701E+02  2.378747611562E+02  2.378872999847E+02  2.387410507073E+02  2.387901802927E+02  2.388051345500E+02  2.394128879721E+02  2.395970650721E+02  2.396202299755E+02
 120.000 -8.143718368083E-01 -8.058994752251E-01 -1.815189139226E-02  2.949549653011E-03  7.190927133361E-01  1.519674997855E+00  1.522215627249E+00  2.358138483963E+02  2.358164595091E+02  2.363958435413E+02  2.373763789025E+02  2.378610856667E+02  2.378742165930E+02  2.386828498521E+02  2.387296261216E+02  2.387453550994E+02  2.393215868227E+02  2.394994747294E+02  2.395232896404E+02
 122.000 -7.777890113376E-01 -7.689320739588E-01 -1.754340414777E-02  4.631936361856E-03  6.834624298542E-01  1.446917176924E+00  1.449569535180E+00  2.358983949363E+02  2.359011352365E+02  2.364504830829E+02  2.373873491218E+02  2.378482907048E+02  2.378620282972E+02  2.386284492293E+02  2.386729653188E+02  2.386894927216E+02  2.392362053705E+02  2.394082224194E+02  2.394326685910E+02
 124.000 -7.436373017172E-01 -7.343885077507E-01 -1.706162618477E-02  6.221887972988E-03  6.500811823931E-01  1.378805689655E+00  1.381571451162E+00  2.359775516712E+02  2.359804261782E+02  2.365016302988E+02  2.373976237415E+02  2.378363025179E+02  2.378506609646E+02  2.385775475845E+02  2.386198829667E+02  2.386372317232E+02  2.391562769734E+02  2.393228058010E+02  2.393478630374E+02
 126.000 -7.117243664991E-01 -7.020768863027E-01 -1.669368843524E-02  7.732504992929E-03  6.187786797278E-01  1.314979003772E+00  1.317859701421E+00  2.360517375994E+02  2.360547514668E+02  2.365495576526E+02  2.374072524798E+02  2.378250547397E+02  2.378400477852E+02  2.385298715660E+02  2.385700947273E+02  2.385882866936E+02  2.390813788146E+02  2.392427696918E+02  2.392684164699E+02
 128.000 -6.818759772478E-01 -6.718234729382E-01 -1.642852947964E-02  9.175040175493E-03  5.893999667753E-01  1.255108877690E+00  1.258105893887E+00  2.361213331363E+02  2.361244916544E+02  2.365945124956E+02  2.374162807127E+02  2.378144875515E+02  2.378301284290E+02  2.384851726300E+02  2.385233435598E+02  2.385423991564E+02  2.390111271453E+02  2.391677009782E+02  2.391939145719E+02
 130.000 -6.539340333343E-01 -6.434706991703E-01 -1.625662894183E-02  1.055916312527E-02  5.618038600704E-01  1.198896837817E+00  1.202011395690E+00  2.361866841914E+02  2.361899927893E+02  2.366367197309E+02  2.374247498805E+02  2.378045469537E+02  2.378208483125E+02  2.384432242978E+02  2.384793968750E+02  2.384993346401E+02  2.389451731062E+02  2.390972241443E+02  2.391239807485E+02
 132.000 -6.277548224322E-01 -6.168754246381E-01 -1.616978292249E-02  1.189318291221E-02  5.358615606615E-01  1.146071075078E+00  1.149304229939E+00  2.362481057604E+02  2.362515700082E+02  2.366763841602E+02  2.374326978521E+02  2.377951841310E+02  2.378121579599E+02  2.384038197072E+02  2.384380440716E+02  2.384588801084E+02  2.388831990513E+02  2.390309973349E+02  2.390582721893E+02
 134.000 -6.032074929597E-01 -5.919074086247E-01 -1.616091420143E-02  1.318423597820E-02  5.114554222694E-01  1.096383705382E+00  1.099736336513E+00  2.363058850973E+02  2.363095107079E+02  2.367136925532E+02  2.374401592522E+02  2.377863548985E+02  2.378040124439E+02  2.383667694114E+02  2.383990944123E+02  2.384208417018E+02  2.388249153066E+02  2.389687088828E+02  2.389964763934E+02
 136.000 -5.801727098148E-01 -5.684479644925E-01 -1.622391126196E-02  1.443844527022E-02  4.884778555324E-01  1.049608346745E+00  1.053081149574E+00  2.363602845196E+02  2.363640773505E+02  2.367488154782E+02  2.374471657545E+02  2.377780192170E+02  2.377963708972E+02  2.383318993814E+02  2.383623752063E+02  2.383850427485E+02  2.387700573065E+02  2.389100742383E+02  2.389383080963E+02
