Rvals*1e9,0+g,0+u,0-g,0-u,1g,1u,2g,2u,0+g,0+u,0-g,0-u,1g,1u,2g,2u,0+g,0+u,0-g,0-u,1g,1u,2g,2u
1.577207514343101469e+00,-1.034978764657567626e+04,-4.218700434422722537e+03,-8.127306097172363479e+03,-8.742971068596354598e+03,-6.776528456933498092e+03,-9.579323283137415274e+03,-2.286778312540768184e+03,2.286778312540769093e+03,-3.633568259546626905e+03,3.956014403545028017e+03,3.291063441213131227e+03,-6.668282124444132251e+02,4.492266825798301397e+02,-3.275280080119288868e+03,nan,nan,nan,nan,nan,nan,3.777837430935203429e+03,1.158025769675178026e+03,nan,nan
1.603150168993256575e+00,-1.018709981464547673e+04,-4.351651796653981364e+03,-8.050243557042170323e+03,-8.599698085578267637e+03,-6.744064130672861211e+03,-9.428679279232173940e+03,-2.177549127844578379e+03,2.177549127844579289e+03,-3.468568537388259756e+03,3.761278211687718340e+03,3.104771716386751905e+03,-7.008720107663131103e+02,3.881446387740441537e+02,-3.130500676267894505e+03,nan,nan,nan,nan,nan,nan,3.587996779087974573e+03,1.081060731310920346e+03,nan,nan
1.629092823643411680e+00,-1.003541579794200152e+04,-4.476726124628307844e+03,-7.979594020648162768e+03,-8.469862009754077008e+03,-6.717280422361107412e+03,-9.289800432189958883e+03,-2.075167158555059814e+03,2.075167158555060723e+03,-3.313106646223177449e+03,3.579206631793488668e+03,2.931740210703223056e+03,-7.283261173009836966e+02,3.338105577559011863e+02,-2.993815810444333238e+03,nan,nan,nan,nan,nan,nan,3.410783213215326668e+03,1.010260957024171717e+03,nan,nan
1.655035478293566786e+00,-9.893801205008927354e+03,-4.594491856186495170e+03,-7.914792583903307786e+03,-8.352204058121402340e+03,-6.695496409430668791e+03,-9.161615997511180467e+03,-1.979104167761120152e+03,1.979104167761121289e+03,-3.166532266774433992e+03,3.408783390969858374e+03,2.770875783164428867e+03,-7.499210781397173378e+02,2.855202585995137952e+02,-2.864688482146532351e+03,nan,nan,nan,nan,nan,nan,3.245163517853397025e+03,9.450751756354748068e+02,nan,nan
1.680978132943721892e+00,-9.761416679805126478e+03,-4.705469086287824211e+03,-7.855326452607211650e+03,-8.245575316097865652e+03,-6.678100760463549705e+03,-9.043162976797235387e+03,-1.888880075436162315e+03,1.888880075436163452e+03,-3.028244515003360902e+03,3.249088344096314358e+03,2.621185559543374438e+03,-7.663257278382982349e+02,2.426366254755223224e+02,-2.742623099745101626e+03,nan,nan,nan,nan,nan,nan,3.090203317360346773e+03,8.850049571700169508e+02,nan,nan
1.706920787593876998e+00,-9.637506766087597498e+03,-4.810134335931731584e+03,-7.800729843896565399e+03,-8.148928416987709170e+03,-6.664546152077984516e+03,-8.933574527325357849e+03,-1.804057913341551512e+03,1.804057913341552876e+03,-2.897687942437058609e+03,3.099287107456386366e+03,2.481766788738118521e+03,-7.781504648538441415e+02,2.045845779264143687e+02,-2.627161640448842263e+03,nan,nan,nan,nan,nan,nan,2.945056432334676174e+03,8.295993725911024512e+02,nan,nan
1.732863442244031882e+00,-9.521390222299134621e+03,-4.908924778419174800e+03,-7.750579443131895459e+03,-8.061309860587223739e+03,-6.654343888751764098e+03,-8.832069673222833444e+03,-1.724239375050986155e+03,1.724239375050987292e+03,-2.774348871353825871e+03,2.958621935072135329e+03,2.351797849682883680e+03,-7.859504829637643297e+02,1.708461797784343048e+02,-2.517880274735558487e+03,nan,nan,nan,nan,nan,nan,2.808955490575302065e+03,7.784502293564211186e+02,nan,nan
1.758806096894186988e+00,-9.412451584294054555e+03,-5.002241993958818057e+03,-7.704490344265416752e+03,-7.981852843538404159e+03,-6.647058748314701006e+03,-8.737944168314093986e+03,-1.649060883270398335e+03,1.649060883270399472e+03,-2.657752034017142705e+03,2.826403675270014901e+03,2.230530259035815106e+03,-7.902290082319957492e+02,1.409559126483979412e+02,-2.414386379861234673e+03,nan,nan,nan,nan,nan,nan,2.681203633707102654e+03,7.311878131345325755e+02,nan,nan
1.784748751544342094e+00,-9.310133802395544990e+03,-5.090455313039370594e+03,-7.662112412898741240e+03,-7.909770517604166344e+03,-6.642304078706023574e+03,-8.650562378269632973e+03,-1.578190107773890986e+03,1.578190107773892350e+03,-2.547457489426130905e+03,2.702004667861046073e+03,2.117281552172633383e+03,-7.914405586697262152e+02,1.144961436878189573e+02,-2.316315881901758075e+03,nan,nan,nan,nan,nan,nan,2.561167182065991256e+03,6.874770761236123917e+02,nan,nan
1.810691406194497199e+00,-9.213931804364541676e+03,-5.173904800166958921e+03,-7.623127020494137469e+03,-7.844349624898402908e+03,-6.639737169392414216e+03,-8.569350065102120425e+03,-1.511322876691069268e+03,1.511322876691070405e+03,-2.443057794208667474e+03,2.584852461740169929e+03,2.011428928685206301e+03,-7.899942202926666823e+02,9.109281549274632539e+01,-2.223330877537805918e+03,nan,nan,nan,nan,nan,nan,2.448269138781807669e+03,6.470142207577903264e+02,nan,nan
1.836634060844652305e+00,-9.123386857359562782e+03,-5.252903922187063472e+03,-7.587244105874003253e+03,-7.784944482302502365e+03,-6.639054915640346735e+03,-8.493787970642275468e+03,-1.448180431854087828e+03,1.448180431854089193e+03,-2.344175406702703640e+03,2.474424249249328568e+03,1.912403569228093147e+03,-7.862569180515866947e+02,7.041138112849989739e+01,-2.135117496071447022e+03,nan,nan,nan,nan,nan,nan,2.341983429720024560e+03,6.095236345055458287e+02,nan,nan
1.862576715494807411e+00,-9.038081620340542941e+03,-5.327741939216877654e+03,-7.554199526503497509e+03,-7.730971302324395765e+03,-6.639989787227353190e+03,-8.423406107625896766e+03,-1.388506985681453443e+03,1.388506985681454580e+03,-2.250460305203818280e+03,2.370241927761239822e+03,1.819685543684952790e+03,-7.805566518570581138e+02,5.215300063430541400e+01,-2.051383969470269676e+03,nan,nan,nan,nan,nan,nan,2.241829789455959144e+03,5.747551372332553683e+02,nan,nan
1.888519370144962517e+00,-8.957635794040685141e+03,-5.398686050997006532e+03,-7.523752667330023542e+03,-7.681902846188860167e+03,-6.642306106303441993e+03,-8.357778677629248705e+03,-1.332067542835757422e+03,1.332067542835758786e+03,-2.161587802966588697e+03,2.271867711004280864e+03,1.732799241665781665e+03,-7.731856651468992823e+02,3.605100837977678196e+01,-1.971858883988486696e+03,nan,nan,nan,nan,nan,nan,2.147369215095189702e+03,5.424815074462169378e+02,nan,nan
1.914462024795117623e+00,-8.881702288978551223e+03,-5.465983327061390810e+03,-7.495684279342469381e+03,-7.637263408655488092e+03,-6.645796632720979687e+03,-8.296519544466749721e+03,-1.278645954805883548e+03,1.278645954805884685e+03,-2.077256543939101903e+03,2.178900222979042610e+03,1.651309265648354085e+03,-7.644035146503950955e+02,2.186765403203535030e+01,-1.896289591451695060e+03,nan,nan,nan,nan,nan,nan,2.058199919800711996e+03,5.124962578066828200e+02,nan,nan
1.940404679445272729e+00,-8.809963843344430643e+03,-5.529862445383367231e+03,-7.469794523672420837e+03,-7.596624134447933102e+03,-6.650279449664355525e+03,-8.239278199954407683e+03,-1.228043179764792058e+03,1.228043179764792967e+03,-1.997186664449946875e+03,2.090971016177745241e+03,1.574816734937214278e+03,-7.544400138168596186e+02,9.391114120010382038e+00,-1.824440761880753371e+03,nan,nan,nan,nan,nan,nan,1.973953726573929998e+03,4.846116338055743995e+02,nan,nan
1.966347334095427613e+00,-8.742130032263416069e+03,-5.590535260971003481e+03,-7.445901200121580587e+03,-7.559598664502449537e+03,-6.655595138018821672e+03,-8.185736166267562112e+03,-1.180075723653098521e+03,1.180075723653099658e+03,-1.921118107195881748e+03,2.007741463430301792e+03,1.502955955274679582e+03,-7.434980276506513519e+02,-1.567233532888678171e+00,-1.756093061983189500e+03,nan,nan,nan,nan,nan,nan,1.894292850357910993e+03,4.586568124445573744e+02,nan,nan
1.992289988745582718e+00,-8.677934618166435030e+03,-5.648198223164322371e+03,-7.423838141573536632e+03,-7.525839107487630827e+03,-6.661604224645673639e+03,-8.135603785593605608e+03,-1.134574241529054234e+03,1.134574241529055371e+03,-1.848809074920729927e+03,1.928899979251487366e+03,1.435391414602589975e+03,-7.317561025414252072e+02,-1.117528384880582060e+01,-1.691041946322250851e+03,nan,nan,nan,nan,nan,nan,1.818907023052585828e+03,4.344762803577549448e+02,nan,nan
2.018232643395737824e+00,-8.617133199007570511e+03,-5.703033658055271189e+03,-7.403453757923468402e+03,-7.495032328925128240e+03,-6.668184887502631682e+03,-8.088617353494862982e+03,-1.091382280884652573e+03,1.091382280884653710e+03,-1.780034612146387644e+03,1.854159532209231656e+03,1.371815070308123722e+03,-7.193709204595243136e+02,-1.958244091999737435e+01,-1.629096549813109732e+03,nan,nan,nan,nan,nan,nan,1.747510921691943622e+03,4.119283730386734419e+02,nan,nan
2.044175298045892930e+00,-8.559501117037154472e+03,-5.755210930446166458e+03,-7.384609715009415595e+03,-7.466896547234215177e+03,-6.675230899230416981e+03,-8.044536557443040692e+03,-1.050355150920274809e+03,1.050355150920275946e+03,-1.714585304223672665e+03,1.783255414706993633e+03,1.311943897429691788e+03,-7.064795721860594995e+02,-2.692163238117606028e+01,-1.570078671691885575e+03,nan,nan,nan,nan,nan,nan,1.679841864952139986e+03,3.908839587943731999e+02,nan,nan
2.070117952696048036e+00,-8.504831595933675999e+03,-5.804887498032682743e+03,-7.367179735612628974e+03,-7.441178223422226438e+03,-6.682649790262070383e+03,-8.003142186440418300e+03,-1.011358903750919353e+03,1.011358903750920490e+03,-1.652266083819084997e+03,1.715943240785442867e+03,1.255517670863549029e+03,-6.932016488286923277e+02,-3.331111817372981676e+01,-1.513821842331756443e+03,nan,nan,nan,nan,nan,nan,1.615657747437641774e+03,3.712252527703429905e+02,nan,nan
2.096060607346203142e+00,-8.452934078447568027e+03,-5.852209869000959770e+03,-7.351048510960376916e+03,-7.417649229094895418e+03,-6.690361212545732997e+03,-7.964234081574171796e+03,-9.742694152314438725e+02,9.742694152314450093e+02,-1.592895135746764936e+03,1.651997146195293226e+03,1.202296957691821262e+03,-6.796411546365504819e+02,-3.885611040923301118e+01,-1.460170465300443311e+03,nan,nan,nan,nan,nan,nan,1.554735184917854212e+03,3.528447479117331795e+02,nan,nan
2.122003261996358248e+00,-8.403632740429757177e+03,-5.897314472929803742e+03,-7.336110712350583526e+03,-7.396104276010167268e+03,-6.698295485453988476e+03,-7.927629300819370656e+03,-9.389715545749140801e+02,9.389715545749152170e+02,-1.536302891794985953e+03,1.591208168154547820e+03,1.152061298425499444e+03,-6.658882470647479295e+02,-4.365022082891317012e+01,-1.408979027908780608e+03,nan,nan,nan,nan,nan,nan,1.496867846932734892e+03,3.356442510783249986e+02,nan,nan
2.147945916646513353e+00,-8.356765160303513767e+03,-5.940328453759054355e+03,-7.322270093555116546e+03,-7.376358589523832052e+03,-6.706392306260467194e+03,-7.893160474468931170e+03,-9.053584332297339188e+02,9.053584332297351693e+02,-1.482331107885689562e+03,1.533382784948259996e+03,1.104607558284851621e+03,-6.520208122059007110e+02,-4.777675179766698221e+01,-1.360111374225609097e+03,nan,nan,nan,nan,nan,nan,1.441864956017605209e+03,3.195340137350742680e+02,nan,nan
2.173888571296668459e+00,-8.312181125770455765e+03,-5.981370392599398656e+03,-7.309438675571919703e+03,-7.358245807913195677e+03,-6.714599608586379873e+03,-7.860674330271383951e+03,-8.733307246053198014e+02,8.733307246053208246e+02,-1.430832016545505212e+03,1.478341597915359671e+03,1.059748431677239751e+03,-6.381058851921239921e+02,-5.130984597265103275e+01,-1.313440035155585747e+03,nan,nan,nan,nan,nan,nan,1.389549935269664729e+03,3.044319477163246006e+02,nan,nan
2.199831225946823565e+00,-8.269741561888720753e+03,-6.020550967296800081e+03,-7.297536006105426168e+03,-7.341616089634841046e+03,-6.722872553372377297e+03,-7.830030369743721167e+03,-8.427960472160677909e+02,8.427960472160689278e+02,-1.381667548259482828e+03,1.425918140445005065e+03,1.017311084821495569e+03,-6.242009260812282037e+02,-5.431550883439599886e+01,-1.268845610713950464e+03,nan,nan,nan,nan,nan,nan,1.339759188138910758e+03,2.902629175255367500e+02,nan,nan
2.225773880596978671e+00,-8.229317566681131211e+03,-6.057973554908894585e+03,-7.286488486875607123e+03,-7.326334410987205047e+03,-6.731172638146343161e+03,-7.801099679233897405e+03,-8.136684046692187167e+02,8.136684046692197398e+02,-1.334708615826525602e+03,1.375957800416552345e+03,9.771359230448269955e+02,-6.103549621820145603e+02,-5.685251723117295342e+01,-1.226216200101292998e+03,nan,nan,nan,nan,nan,nan,1.292340996215956920e+03,2.769581014967545229e+02,nan,nan
2.251716535247133777e+00,-8.190789542172064102e+03,-6.093734782586604524e+03,-7.276228762501395067e+03,-7.312279037324572528e+03,-6.739466911584693662e+03,-7.773763861168225048e+03,-7.858676766708467767e+02,7.858676766708479136e+02,-1.289834456340478027e+03,1.328316844099147602e+03,9.390754706722409537e+02,-5.966096078462755941e+02,-5.897322601711523049e+01,-1.185446875593661161e+03,nan,nan,nan,nan,nan,nan,1.247154522443506949e+03,2.644544149201919367e+02,nan,nan
2.277659189897288439e+00,-8.154046410255003138e+03,-6.127925031769476846e+03,-7.266695165284358154e+03,-7.299340151830911054e+03,-6.747727281568075341e+03,-7.747914072563315131e+03,-7.593191558801397605e+02,7.593191558801408974e+02,-1.246932025885417715e+03,1.282861530909898647e+03,9.029933526644972517e+02,-5.829999725492275502e+02,-6.072428379976157231e+01,-1.146439196628769423e+03,nan,nan,nan,nan,nan,nan,1.204068908628112922e+03,2.526939889318076382e+02,nan,nan
2.303601844547443545e+00,-8.118984904092842044e+03,-6.160628900087364855e+03,-7.257831210741747782e+03,-7.287418626845237668e+03,-6.755929906084615141e+03,-7.723450159334986893e+03,-7.339531260177116110e+02,7.339531260177126342e+02,-1.205895442460293452e+03,1.239467309640500389e+03,8.687633682594596394e+02,-5.695554676724750607e+02,-6.214726778044446576e+01,-1.109100760794216285e+03,nan,nan,nan,nan,nan,nan,1.162962457400482890e+03,2.416236995937864549e+02,nan,nan
2.329544499197598650e+00,-8.085508926879597311e+03,-6.191925624904966753e+03,-7.249585139211229944e+03,-7.276424923781676625e+03,-6.764054657420583681e+03,-7.700279876220804908e+03,-7.097044771395873113e+02,7.097044771395884482e+02,-1.166625473039164717e+03,1.198018087823731094e+03,8.362686478508194341e+02,-5.563005218579114626e+02,-6.327924668955972010e+01,-1.073344788715129198e+03,nan,nan,nan,nan,nan,nan,1.123721889889313843e+03,2.311947421567630840e+02,nan,nan
2.355487153847753756e+00,-8.053528970769946682e+03,-6.221889472041899353e+03,-7.241909499278544899e+03,-7.266278108765191064e+03,-6.772084651087910061e+03,-7.678318183268783287e+03,-6.865123544337545809e+02,6.865123544337558315e+02,-1.129029061031320452e+03,1.158405566843165161e+03,8.054008852122988174e+02,-5.432552141685646347e+02,-6.415327989961538435e+01,-1.039089740100462905e+03,nan,nan,nan,nan,nan,nan,1.086241671355033759e+03,2.213622460017359970e+02,nan,nan
2.381429808497908862e+00,-8.022961589633165204e+03,-6.250590092842616286e+03,-7.234760769168578008e+03,-7.256904972175550029e+03,-6.780005831867661982e+03,-7.657486610849330646e+03,-6.643198372886971583e+02,6.643198372886981815e+02,-1.093018890732928412e+03,1.120528636208709941e+03,7.760596379572762089e+02,-5.304358336131481337e+02,-6.479885994824053341e+01,-1.006258958443713482e+03,nan,nan,nan,nan,nan,nan,1.050423397893301853e+03,2.120849262156505404e+02,nan,nan
2.407372463148063968e+00,-7.993728920028534958e+03,-6.278092852452177794e+03,-7.228099012594198030e+03,-7.248239241334044891e+03,-6.787806610195756548e+03,-7.637712686036637933e+03,-6.430736457297925881e+02,6.430736457297936113e+02,-1.058512985660844606e+03,1.084292821141556487e+03,7.481516898239924558e+02,-5.178553728957494968e+02,-6.524230492333178688e+01,-9.747803420876032305e+02,nan,nan,nan,nan,nan,nan,1.016175238078676216e+03,2.033247681646570868e+02,nan,nan
2.433315117798219074e+00,-7.965758245445248576e+03,-6.304459131870456076e+03,-7.221887565878833811e+03,-7.240220876562902049e+03,-6.795477542884926152e+03,-7.618929413992695117e+03,-6.227238716257631950e+02,6.227238716257643318e+02,-1.025434337932042581e+03,1.049609778247747272e+03,7.215904690045981624e+02,-5.055239635628613541e+02,-6.550710645282617861e+01,-9.445860395564430974e+02,nan,nan,nan,nan,nan,nan,9.834114240892749876e+02,1.950467417976148568e+02,nan,nan
2.459257772448374180e+00,-7.938981599414496486e+03,-6.329746606104877173e+03,-7.216092753461554821e+03,-7.232795441785458024e+03,-6.803011052868122533e+03,-7.601074808684345953e+03,-6.032237323384740648e+02,6.032237323384750880e+02,-9.937105661009281903e+02,1.016396834620300979e+03,6.962955173000291325e+02,-4.934492590530153393e+02,-6.561423839990568752e+01,-9.156121672362413619e+02,nan,nan,nan,nan,nan,nan,9.520517874449769806e+02,1.872185427436407963e+02,nan,nan
2.485200427098529286e+00,-7.913335403595607204e+03,-6.354009500516320259e+03,-7.210683629159717384e+03,-7.225913541709520359e+03,-6.810401183267923443e+03,-7.584091467881373319e+03,-5.845293447297128751e+02,5.845293447297138982e+02,-9.632735990935334485e+02,9.845765662054600398e+02,6.721920053894309603e+02,-4.816367715201931787e+02,-6.558243078718858499e+01,-8.877985476431437064e+02,nan,nan,nan,nan,nan,nan,9.220213350145435243e+02,1.798103575650904702e+02,nan,nan
2.511143081748684391e+00,-7.888760137371512428e+03,-6.377298827251366674e+03,-7.205631740806589733e+03,-7.219530318443970828e+03,-6.817643381649246294e+03,-7.567926187931222557e+03,-5.665995176518695189e+02,5.665995176518706558e+02,-9.340593840840983830e+02,9.540764117069775239e+02,6.492102899584588158e+02,-4.700901677078991270e+02,-6.542841295639514954e+01,-8.610884666671795458e+02,nan,nan,nan,nan,nan,nan,8.932498614093823335e+02,1.727946507946616350e+02,nan,nan
2.537085736398839497e+00,-7.865200035869364001e+03,-6.399662603473775562e+03,-7.200910916101832299e+03,-7.213605001139175329e+03,-6.824734310804568850e+03,-7.552529614291553116e+03,-5.493955612389918315e+02,5.493955612389929684e+02,-9.060076163476123838e+02,9.248283186907519848e+02,6.272855088408241500e+02,-4.588115285998173931e+02,-6.516712950842331509e+01,-8.354284483117611444e+02,nan,nan,nan,nan,nan,nan,8.656715942909772821e+02,1.661459716253334591e+02,nan,nan
