R_values,HFavg
7.249828855319818158e-09,1.075737268638392408e+01
7.456414553178977210e-09,9.772694510592399908e+00
7.663000251038136261e-09,8.900938052972559689e+00
7.869585948897295313e-09,8.126973843106862105e+00
8.076171646756456019e-09,7.437097333559629320e+00
8.282757344615615070e-09,6.820860307097080799e+00
8.489343042474774122e-09,6.268404062986911995e+00
8.695928740333933173e-09,5.771847171899103124e+00
8.902514438193092225e-09,5.324466199300545988e+00
9.109100136052251276e-09,4.920497869514626643e+00
9.315685833911410328e-09,4.554979387929365409e+00
9.522271531770569379e-09,4.223618781377112441e+00
9.728857229629728431e-09,3.922689009555276662e+00
9.935442927488887482e-09,3.648941019164673616e+00
1.014202862534804653e-08,3.400327953711461682e+00
1.034861432320720559e-08,3.173539978788400440e+00
1.055520002106636464e-08,2.966378661060137478e+00
1.076178571892552534e-08,2.777675276538032367e+00
1.096837141678468439e-08,2.604912419192763284e+00
1.117495711464384345e-08,2.446559999957818476e+00
1.138154281250300250e-08,2.301254311052769896e+00
1.158812851036216155e-08,2.167776896668088593e+00
1.179471420822132060e-08,2.045036565061322698e+00
1.200129990608047965e-08,1.932054037345516617e+00
1.220788560393963870e-08,1.827948815968224672e+00
1.241447130179879776e-08,1.731927923883313181e+00
1.262105699965795681e-08,1.643276218084994689e+00
1.282764269751711586e-08,1.561348022789796675e+00
1.303422839537627491e-08,1.485559862252406438e+00
1.324081409323543396e-08,1.415384104480519989e+00
1.344739979109459301e-08,1.347127901129216321e+00
1.365398548895375206e-08,1.283695235187045203e+00
1.386057118681291112e-08,1.224691510021155949e+00
1.406715688467207348e-08,1.169758786238466408e+00
1.427374258253122922e-08,1.115920578393879259e+00
1.448032828039039158e-08,1.065635404047564849e+00
1.468691397824954732e-08,1.017376954492142493e+00
1.489349967610870968e-08,9.722008221536069250e-01
1.510008537396786543e-08,9.298797182159803665e-01
1.530667107182702779e-08,8.902058652531077421e-01
1.551325676968618353e-08,8.508537927191183181e-01
1.571984246754534589e-08,8.138593266754265976e-01
1.592642816540450163e-08,7.790594863195383635e-01
1.613301386326366399e-08,7.463045369003242779e-01
1.633959956112281973e-08,7.154567683221754182e-01
1.654618525898198209e-08,6.855308769333077201e-01
1.675277095684113784e-08,6.572963097772155372e-01
1.695935665470030020e-08,6.306439583614070754e-01
1.716594235255945594e-08,6.054730138996436972e-01
1.737252805041861830e-08,5.816902390829961078e-01
1.757911374827777404e-08,5.592093099382791088e-01
1.778569944613693640e-08,5.379502205573005735e-01
1.799228514399609215e-08,5.178387442700703724e-01
1.819887084185525451e-08,4.984488422010638908e-01
1.840545653971441025e-08,4.800827077449544289e-01
1.861204223757357261e-08,4.621270218298775267e-01
1.881862793543272835e-08,4.450974470323110777e-01
1.902521363329189071e-08,4.290502344335375695e-01
1.923179933115105307e-08,4.138237982209209687e-01
1.943838502901020882e-08,3.993719035174943532e-01
1.964497072686937118e-08,3.856513078861287802e-01
1.985155642472852692e-08,3.726215306800423899e-01
2.005814212258768928e-08,3.602446427148721653e-01
2.026472782044684502e-08,3.484850743575298448e-01
2.047131351830600738e-08,3.365134705102645341e-01
2.067789921616516312e-08,3.251121892960106563e-01
2.088448491402432549e-08,3.142511873470142936e-01
2.109107061188348123e-08,3.031280789429476874e-01
2.129765630974264359e-08,2.925115348054160846e-01
2.150424200760179933e-08,2.823757595614458382e-01
2.171082770546096169e-08,2.726964315215613666e-01
2.191741340332011743e-08,2.634506032275091281e-01
2.212399910117927979e-08,2.546166099766243862e-01
2.233058479903843554e-08,2.461739856209605171e-01
2.253717049689759790e-08,2.381033850044173006e-01
2.274375619475675364e-08,2.303865124594852154e-01
