# Radius (nm), Energy
1.191182364729459026e-08,5.308304312528102642e+00
1.211022044088176365e-08,5.051663706461353875e+00
1.230861723446893870e-08,4.811303772380497890e+00
1.250701402805611375e-08,4.585953707785050959e+00
1.270541082164328714e-08,4.374459908251189688e+00
1.290380761523046219e-08,4.175773548948857439e+00
1.310220440881763558e-08,3.988939647542945277e+00
1.330060120240481063e-08,3.813087412605017601e+00
1.349899799599198402e-08,3.647421710021151231e+00
1.369739478957915907e-08,3.491215503788624552e+00
1.389579158316633412e-08,3.343803147801201803e+00
1.409418837675350751e-08,3.204574422345510598e+00
1.429258517034068256e-08,3.072969223576177189e+00
1.449098196392785595e-08,2.948472826622454690e+00
1.468937875751503100e-08,2.830611653549253592e+00
1.488777555110220439e-08,2.718949486437322260e+00
1.508617234468937944e-08,2.613084073598415547e+00
1.528456913827655284e-08,2.512644083600421130e+00
1.548296593186372623e-08,2.417286367509959621e+00
1.568136272545090293e-08,2.326693494705065923e+00
1.587975951903807632e-08,2.240571531884603118e+00
1.607815631262524972e-08,2.158648038602203112e+00
1.627655310621242311e-08,2.080670255863620088e+00
1.647494989979959981e-08,2.006403467117212625e+00
1.667334669338677321e-08,1.935629513397293167e+00
1.687174348697394660e-08,1.868145446499456019e+00
1.707014028056111999e-08,1.803762305918680031e+00
1.726853707414829670e-08,1.742304006901305158e+00
1.746693386773547009e-08,1.683606328382249773e+00
1.766533066132264348e-08,1.627515990825570746e+00
1.786372745490982018e-08,1.573889815082672339e+00
1.806212424849699358e-08,1.522593954347636780e+00
1.826052104208416697e-08,1.473503192140250606e+00
1.845891783567134036e-08,1.426500299998918031e+00
1.865731462925851707e-08,1.381475449230214370e+00
1.885571142284569046e-08,1.338325671650375748e+00
1.905410821643286385e-08,1.296954364775807278e+00
1.925250501002004056e-08,1.257270837382989503e+00
1.945090180360721395e-08,1.219189891769986378e+00
1.964929859719438734e-08,1.182631439418313501e+00
1.984769539078156074e-08,1.147520147080605790e+00
2.004609218436873744e-08,1.113785110610961970e+00
2.024448897795591083e-08,1.081359554115198796e+00
2.044288577154308422e-08,1.050180552231067654e+00
2.064128256513026093e-08,1.020188773556948592e+00
2.083967935871743432e-08,9.913282434343562155e-01
2.103807615230460771e-08,9.635461244572198769e-01
2.123647294589178111e-08,9.367925132314935954e-01
2.143486973947895781e-08,9.110202520440066065e-01
2.163326653306613120e-08,8.861847542213393547e-01
2.183166332665330460e-08,8.622438420692745131e-01
2.203006012024048130e-08,8.391575963823960649e-01
2.222845691382765469e-08,8.168882166027726655e-01
2.242685370741482808e-08,7.953998907874125779e-01
2.262525050100200479e-08,7.746586746172261506e-01
2.282364729458917818e-08,7.546323787463292687e-01
2.302204408817635157e-08,7.352904638504238477e-01
2.322044088176352497e-08,7.166039427873168721e-01
2.341883767535070167e-08,6.985452893319290535e-01
2.361723446893787506e-08,6.810883529929354641e-01
2.381563126252504846e-08,6.642082794588841654e-01
2.401402805611222516e-08,6.478814362586957643e-01
2.421242484969939855e-08,6.320853432551687412e-01
2.441082164328657194e-08,6.167986076208610280e-01
2.460921843687374534e-08,6.020008629737597650e-01
2.480761523046092204e-08,5.876727123757374827e-01
2.500601202404809543e-08,5.737956749201689188e-01
2.520440881763526883e-08,5.603521356564535871e-01
2.540280561122244553e-08,5.473252986187342461e-01
2.560120240480961892e-08,5.346991427439929945e-01
2.579959919839679232e-08,5.224583804810972731e-01
2.599799599198396571e-08,5.105884189074016977e-01
2.619639278557114241e-08,4.990753231832840697e-01
2.639478957915831580e-08,4.879057821876561785e-01
2.659318637274548920e-08,4.770670761891050438e-01
2.679158316633266590e-08,4.665470464180094257e-01
2.698997995991983929e-08,4.563340664147984005e-01
2.718837675350701269e-08,4.464170150385557423e-01
2.738677354709418608e-08,4.367852510285146206e-01
2.758517034068136278e-08,4.274285890186445558e-01
2.778356713426853618e-08,4.183372769126191271e-01
2.798196392785570957e-08,4.095019745329720462e-01
2.818036072144288627e-08,4.009137334642789985e-01
2.837875751503005966e-08,3.925639780157662018e-01
2.857715430861723306e-08,3.844444872338868002e-01
2.877555110220440645e-08,3.765473779001663468e-01
2.897394789579158315e-08,3.688650884540153885e-01
2.917234468937875655e-08,3.613903637842810768e-01
2.937074148296592994e-08,3.541162408370807646e-01
2.956913827655310664e-08,3.470360349909596964e-01
2.976753507014028004e-08,3.401433271536526415e-01
2.996593186372745674e-08,3.334319515377366927e-01
3.016432865731463013e-08,3.268959840752561075e-01
3.036272545090180352e-08,3.205297314339870529e-01
3.056112224448897692e-08,3.143277206004206903e-01
3.075951903807615031e-08,3.082846889967812420e-01
3.095791583166333032e-08,3.023955751014729687e-01
3.115631262525050372e-08,2.966555095442922063e-01
3.135470941883767711e-08,2.910598066495362346e-01
3.155310621242485050e-08,2.856039564018258425e-01
3.175150300601202390e-08,2.802836168110174331e-01
3.194989979959920391e-08,2.750946066540403412e-01
3.214829659318637730e-08,2.700328985728545073e-01
3.234669338677355069e-08,2.650946125089900796e-01
3.254509018036072409e-08,2.602760094563172921e-01
3.274348697394789748e-08,2.555734855147976381e-01
3.294188376753507087e-08,2.509835662290001990e-01
3.314028056112224427e-08,2.465029011961331618e-01
3.333867735470942428e-08,2.421282589292417520e-01
3.353707414829659767e-08,2.378565219620683846e-01
3.373547094188377106e-08,2.336846821828573173e-01
3.393386773547094446e-08,2.296098363851314106e-01
3.413226452905811785e-08,2.256291820241535795e-01
3.433066132264529124e-08,2.217400131684386100e-01
3.452905811623246464e-08,2.179397166362867233e-01
3.472745490981964465e-08,2.142257683078799546e-01
3.492585170340681804e-08,2.105957296040182058e-01
3.512424849699399144e-08,2.070472441230692129e-01
3.532264529058116483e-08,2.035780344281826471e-01
3.552104208416833822e-08,2.001858989772554165e-01
3.571943887775551162e-08,1.968687091885523432e-01
3.591783567134268501e-08,1.936244066352762472e-01
3.611623246492986502e-08,1.904510003627467030e-01
3.631462925851703841e-08,1.873465643221930432e-01
3.651302605210421181e-08,1.843092349154882015e-01
3.671142284569138520e-08,1.813372086454585752e-01
3.690981963927855859e-08,1.784287398666892510e-01
3.710821643286573199e-08,1.755821386320145228e-01
3.730661322645290538e-08,1.727957686301392348e-01
3.750501002004008539e-08,1.700680452100745421e-01
3.770340681362725878e-08,1.673974334882997739e-01
3.790180360721443218e-08,1.647824465347712541e-01
3.810020040080160557e-08,1.622216436341047952e-01
3.829859719438877896e-08,1.597136286184439591e-01
3.849699398797595236e-08,1.572570482687060678e-01
3.869539078156312575e-08,1.548505907810678039e-01
3.889378757515030576e-08,1.524929842957102877e-01
3.909218436873747916e-08,1.501829954849943638e-01
3.929058116232465255e-08,1.479194281983786385e-01
3.948897795591182594e-08,1.457011221615280294e-01
3.968737474949899934e-08,1.435269517271868800e-01
3.988577154308617273e-08,1.413958246755102899e-01
4.008416833667334612e-08,1.393066810616622464e-01
4.028256513026052613e-08,1.372584921085950038e-01
4.048096192384769953e-08,1.352502591430275458e-01
4.067935871743487292e-08,1.332810125727349471e-01
4.087775551102204631e-08,1.313498109033542360e-01
4.107615230460921971e-08,1.294557397929965437e-01
4.127454909819639310e-08,1.275979111430379509e-01
4.147294589178356649e-08,1.257754622235394137e-01
4.167134268537074650e-08,1.239875548318180448e-01
4.186973947895791990e-08,1.222333744827640012e-01
4.206813627254509329e-08,1.205121296295603439e-01
4.226653306613226668e-08,1.188230509135293350e-01
4.246492985971944008e-08,1.171653904418844816e-01
4.266332665330661347e-08,1.155384210922272004e-01
4.286172344689378686e-08,1.139414358426780738e-01
4.306012024048096688e-08,1.123737471265855159e-01
4.325851703406814027e-08,1.108346862108014336e-01
4.345691382765531366e-08,1.093236025965600156e-01
4.365531062124248706e-08,1.078398634420398572e-01
4.385370741482966045e-08,1.063828530057299993e-01
4.405210420841683384e-08,1.049519721097607883e-01
4.425050100200401385e-08,1.035466376223972834e-01
4.444889779559118725e-08,1.021662819589294058e-01
4.464729458917836064e-08,1.008103526002254446e-01
4.484569138276553403e-08,9.947831162824977147e-02
4.504408817635270743e-08,9.816963527787476995e-02
4.524248496993988082e-08,9.688381350434648043e-02
4.544088176352705421e-08,9.562034956579219813e-02
4.563927855711423422e-08,9.437875962018342502e-02
4.583767535070140762e-08,9.315857233619426192e-02
4.603607214428858101e-08,9.195932851741754621e-02
4.623446893787575440e-08,9.078058073942639472e-02
4.643286573146292780e-08,8.962189299918819907e-02
4.663126252505010119e-08,8.848284037636072741e-02
4.682965931863727458e-08,8.736300870601895752e-02
4.702805611222445460e-08,8.626199426238045920e-02
4.722645290581162799e-08,8.517940345311551809e-02
4.742484969939880138e-08,8.411485252384456879e-02
4.762324649298597478e-08,8.306796727244332434e-02
4.782164328657314817e-08,8.203838277279035252e-02
4.802004008016032156e-08,8.102574310760755905e-02
4.821843687374749496e-08,8.002970111005854037e-02
4.841683366733467497e-08,7.904991811378277167e-02
4.861523046092184836e-08,7.808606371105725197e-02
4.881362725450902175e-08,7.713781551878959308e-02
4.901202404809619515e-08,7.620485895205807159e-02
4.921042084168336854e-08,7.528688700492644492e-02
4.940881763527054193e-08,7.438360003827117206e-02
4.960721442885771533e-08,7.349470557436992013e-02
4.980561122244489534e-08,7.261991809800986963e-02
5.000400801603206873e-08,7.175895886388404532e-02
5.020240480961924212e-08,7.091155571005254565e-02
5.040080160320641552e-08,7.007744287725507781e-02
5.059919839679358891e-08,6.925636083386901842e-02
5.079759519038076230e-08,6.844805610631501946e-02
5.099599198396793570e-08,6.765228111472075534e-02
5.119438877755511571e-08,6.686879401365940223e-02
5.139278557114228910e-08,6.609735853778798964e-02
5.159118236472946250e-08,6.533774385221589875e-02
5.178957915831663589e-08,6.458972440744185917e-02
5.198797595190380928e-08,6.385307979870243067e-02
5.218637274549098268e-08,6.312759462958203449e-02
5.238476953907815607e-08,6.241305837973970538e-02
5.258316633266533608e-08,6.170926527661325933e-02
5.278156312625250947e-08,6.101601417096696317e-02
5.297995991983968287e-08,6.033310841615330267e-02
5.317835671342685626e-08,5.966035575096521187e-02
5.337675350701402965e-08,5.899756818595851271e-02
5.357515030060120305e-08,5.834456189312967056e-02
5.377354709418837644e-08,5.770115709883772565e-02
5.397194388777555645e-08,5.706717797986356200e-02
5.417034068136272984e-08,5.644245256250351311e-02
5.436873747494990324e-08,5.582681262459762705e-02
5.456713426853707663e-08,5.522009360039763920e-02
5.476553106212425002e-08,5.462213448818165062e-02
5.496392785571142342e-08,5.403277776052713144e-02
5.516232464929859681e-08,5.345186927715621372e-02
5.536072144288577682e-08,5.287925820027074286e-02
5.555911823647295022e-08,5.231479691229742879e-02
5.575751503006012361e-08,5.175834093596587415e-02
5.595591182364729700e-08,5.120974885664565657e-02
5.615430861723447040e-08,5.066888224687080694e-02
5.635270541082164379e-08,5.013560559298235741e-02
5.655110220440881718e-08,4.960978622382275494e-02
5.674949899799599719e-08,4.909129424141733811e-02
5.694789579158317059e-08,4.858000245358128077e-02
5.714629258517034398e-08,4.807578630839148132e-02
5.734468937875751737e-08,4.757852383046613787e-02
5.754308617234469077e-08,4.708809555899561711e-02
5.774148296593186416e-08,4.660438448747093731e-02
5.793987975951903755e-08,4.612727600505758807e-02
5.813827655310621756e-08,4.565665783956439350e-02
5.833667334669339096e-08,4.519242000195879128e-02
5.853507014028056435e-08,4.473445473238130132e-02
5.873346693386773774e-08,4.428265644761415765e-02
5.893186372745491114e-08,4.383692168995978466e-02
5.913026052104208453e-08,4.339714907748694339e-02
5.932865731462925792e-08,4.296323925560344148e-02
5.952705410821643794e-08,4.253509484991572359e-02
5.972545090180361133e-08,4.211262042033709491e-02
5.992384769539078472e-08,4.169572241640731591e-02
6.012224448897795812e-08,4.128430913378790951e-02
6.032064128256513151e-08,4.087829067189836102e-02
6.051903807615230490e-08,4.047757889265979347e-02
6.071743486973947830e-08,4.008208738031340812e-02
6.091583166332665169e-08,3.969173140228256930e-02
6.111422845691382508e-08,3.930642787104801639e-02
6.131262525050099848e-08,3.892609530700673337e-02
6.151102204408817187e-08,3.855065380228613753e-02
6.170941883767534526e-08,3.818002498548591500e-02
6.190781563126251866e-08,3.781413198732096193e-02
6.210621242484969205e-08,3.745289940713951438e-02
6.230460921843686544e-08,3.709625328029144548e-02
6.250300601202403884e-08,3.674412104632261700e-02
