Rvals*1e9,0a1,0a1
3.065998226103021165e-09,-6.713693832227025268e+03,5.187481765073737279e+02
3.107824138702250774e-09,-6.729996450860518053e+03,4.978503257166845515e+02
3.149650051301480383e-09,-6.745453051136515569e+03,4.780562941072658418e+02
3.191475963900709992e-09,-6.760117610481299380e+03,4.592939656648279652e+02
3.233301876499939601e-09,-6.774040042461936537e+03,4.414968204681173347e+02
3.275127789099169210e-09,-6.787266547752057704e+03,4.246034331776786530e+02
3.316953701698398819e-09,-6.799839931040578449e+03,4.085570223719486762e+02
3.358779614297628428e-09,-6.811799887538761141e+03,3.933050449900428589e+02
3.400605526896858037e-09,-6.823183262312389161e+03,3.787988308532288784e+02
3.442431439496087647e-09,-6.834024285291498018e+03,3.649932528534426410e+02
3.484257352095317256e-09,-6.844354784482896321e+03,3.518464289313325253e+02
3.526083264694546865e-09,-6.854204379623939531e+03,3.393194524300477610e+02
3.567909177293776474e-09,-6.863600658264732374e+03,3.273761478143204613e+02
3.609735089893006083e-09,-6.872569336044991360e+03,3.159828490958507246e+02
3.651561002492235692e-09,-6.881134402737601704e+03,3.051081986127436494e+02
3.693386915091465301e-09,-6.889318255459746979e+03,2.947229640789744280e+02
3.735212827690694910e-09,-6.897141820301618282e+03,2.847998720547328162e+02
3.777038740289924932e-09,-6.904624663489310478e+03,2.753134561945406631e+02
3.818864652889154128e-09,-6.911785093080722618e+03,2.662399188110676391e+02
3.860690565488383323e-09,-6.918640252088791385e+03,2.575570044518459554e+02
3.902516478087613346e-09,-6.925206203833849941e+03,2.492438843264601473e+02
3.944342390686843368e-09,-6.931498010244777106e+03,2.412810505456648116e+02
3.986168303286072564e-09,-6.937529803755455760e+03,2.336502192433846972e+02
4.027994215885301759e-09,-6.943314853378175940e+03,2.263342417494259564e+02
4.069820128484531782e-09,-6.948865625477651520e+03,2.193170230666441967e+02
4.111646041083761804e-09,-6.954193839717675473e+03,2.125834469824964117e+02
4.153471953682991000e-09,-6.959310520606351020e+03,2.061193072126462198e+02
4.195297866282220195e-09,-6.964226045024578525e+03,1.999112440345467121e+02
4.237123778881450218e-09,-6.968950186085617133e+03,1.939466859226068038e+02
4.278949691480680241e-09,-6.973492153640442666e+03,1.882137957444266476e+02
4.320775604079909436e-09,-6.977860631714072042e+03,1.827014211203531318e+02
4.362601516679138631e-09,-6.982063813131318057e+03,1.773990485868314977e+02
4.404427429278368654e-09,-6.986109431566599596e+03,1.722967612382592222e+02
4.446253341877598677e-09,-6.990004791230915544e+03,1.673851995527075474e+02
4.488079254476827872e-09,-6.993756794389720199e+03,1.626555251343882276e+02
4.529905167076057068e-09,-6.997371966887971212e+03,1.580993871304565062e+02
4.571731079675287090e-09,-7.000856481842934045e+03,1.537088911019473585e+02
4.613556992274517113e-09,-7.004216181651063380e+03,1.494765701486412013e+02
4.655382904873746308e-09,-7.007456598442451650e+03,1.453953581056535711e+02
4.697208817472975504e-09,-7.010582973104755183e+03,1.414585646458014025e+02
4.739034730072205526e-09,-7.013600272987911922e+03,1.376598521364383885e+02
4.780860642671435549e-09,-7.016513208391538683e+03,1.339932141127216596e+02
4.822686555270664744e-09,-7.019326247928142948e+03,1.304529552412305407e+02
4.864512467869893940e-09,-7.022043632847549816e+03,1.270336726587183165e+02
4.906338380469123962e-09,-7.024669390400701559e+03,1.237302385806001723e+02
4.948164293068353985e-09,-7.027207346314652568e+03,1.205377840826816396e+02
4.989990205667583180e-09,-7.029661136444510703e+03,1.174516839677418716e+02
5.031816118266812376e-09,-7.032034217662923766e+03,1.144675426359071366e+02
5.073642030866042398e-09,-7.034329878042578457e+03,1.115811808844538149e+02
5.115467943465272421e-09,-7.036551246382960016e+03,1.087886235687463454e+02
5.157293856064501616e-09,-7.038701301128351588e+03,1.060860880615543635e+02
5.199119768663730812e-09,-7.040782878720462577e+03,1.034699734530385342e+02
5.240945681262960835e-09,-7.042798681425630093e+03,1.009368504383083121e+02
5.282771593862190857e-09,-7.044751284673424379e+03,9.848345184363257943e+01
5.324597506461420053e-09,-7.046643143940654227e+03,9.610666374625242270e+01
5.366423419060649248e-09,-7.048476601212184505e+03,9.380351714622904069e+01
5.408249331659879271e-09,-7.050253891047563229e+03,9.157118015198582839e+01
5.450075244259109293e-09,-7.051977146280261877e+03,8.940695064413978344e+01
5.491901156858338489e-09,-7.053648403374359077e+03,8.730824938490654574e+01
5.533727069457567684e-09,-7.055269607461620581e+03,8.527261354283695027e+01
5.575552982056797707e-09,-7.056842617080236778e+03,8.329769060491091182e+01
5.617378894656027729e-09,-7.058369208634943789e+03,8.138123265008889007e+01
5.659204807255256925e-09,-7.059851080596787142e+03,7.952109096033419178e+01
5.701030719854486120e-09,-7.061289857459487393e+03,7.771521094688320375e+01
5.742856632453716143e-09,-7.062687093468149214e+03,7.596162737114315178e+01
5.784682545052946165e-09,-7.064044276134914071e+03,7.425845984110272013e+01
5.826508457652175361e-09,-7.065362829555188910e+03,7.260390856549079786e+01
5.868334370251404556e-09,-7.066644117536986414e+03,7.099625034920518374e+01
5.910160282850634579e-09,-7.067889446555226641e+03,6.943383481467365925e+01
5.951986195449864602e-09,-7.069100068541863948e+03,6.791508083490549552e+01
5.993812108049093797e-09,-7.070277183522041923e+03,6.643847316496974997e+01
6.035638020648322992e-09,-7.071421942105766902e+03,6.500255925956351177e+01
6.077463933247553015e-09,-7.072535447843926704e+03,6.360594626517175243e+01
6.119289845846783038e-09,-7.073618759456914631e+03,6.224729817611255100e+01
6.161115758446012233e-09,-7.074672892943532133e+03,6.092533314448301951e+01
6.202941671045241428e-09,-7.075698823577358780e+03,5.963882093469346302e+01
6.244767583644471451e-09,-7.076697487797309805e+03,5.838658051389510462e+01
6.286593496243701474e-09,-7.077669784998604882e+03,5.716747777019969590e+01
6.328419408842930669e-09,-7.078616579230055322e+03,5.598042335109921197e+01
6.370245321442159865e-09,-7.079538700803093889e+03,5.482437061501172337e+01
6.412071234041389887e-09,-7.080436947817722285e+03,5.369831368933200366e+01
6.453897146640619910e-09,-7.081312087610115668e+03,5.260128562879347669e+01
6.495723059239849105e-09,-7.082164858126418039e+03,5.153235666834255824e+01
6.537548971839078301e-09,-7.082995969226913985e+03,5.049063256510493858e+01
6.579374884438308323e-09,-7.083806103924523086e+03,4.947525302436388728e+01
6.621200797037538346e-09,-7.084595919561302253e+03,4.848539020478185080e+01
6.663026709636767541e-09,-7.085366048926443000e+03,4.752024729840921680e+01
6.704852622235996737e-09,-7.086117101318991445e+03,4.657905718129415362e+01
6.746678534835226759e-09,-7.086849663558356951e+03,4.566108113076254682e+01
6.788504447434456782e-09,-7.087564300945484320e+03,4.476560760569058317e+01
6.830330360033685977e-09,-7.088261558177353436e+03,4.389195108630003972e+01
6.872156272632915173e-09,-7.088941960217366614e+03,4.303945097023459709e+01
6.913982185232145195e-09,-7.089606013123995581e+03,4.220747052186024462e+01
6.955808097831375218e-09,-7.090254204839904560e+03,4.139539587191634240e+01
6.997634010430604414e-09,-7.090887005943692202e+03,4.060263506482109364e+01
7.039459923029833609e-09,-7.091504870366195973e+03,3.982861715109082468e+01
7.081285835629063632e-09,-7.092108236073251646e+03,3.907279132248041975e+01
7.123111748228293654e-09,-7.092697525716648670e+03,3.833462608759867152e+01
7.164937660827522850e-09,-7.093273147254943979e+03,3.761360848587438710e+01
7.206763573426752045e-09,-7.093835494545704933e+03,3.690924333788442624e+01
7.248589486025982068e-09,-7.094384947910622031e+03,3.622105253014942861e+01
7.290415398625212090e-09,-7.094921874674902938e+03,3.554857433263708799e+01
7.332241311224441286e-09,-7.095446629682270213e+03,3.489136274729078480e+01
7.374067223823670481e-09,-7.095959555786756027e+03,3.424898688600634244e+01
7.415893136422900504e-09,-7.096460984322495278e+03,3.362103037656892468e+01
7.457719049022130526e-09,-7.096951235552607613e+03,3.300709079514584232e+01
7.499544961621358895e-09,-7.097430619098211537e+03,3.240677912399726779e+01
7.541370874220588917e-09,-7.097899434348545583e+03,3.181971923316507045e+01
7.583196786819818940e-09,-7.098357970853140614e+03,3.124554738493855766e+01
7.625022699419048962e-09,-7.098806508696901801e+03,3.068391175998788967e+01
7.666848612018278985e-09,-7.099245318858966129e+03,3.013447200409769877e+01
7.708674524617507353e-09,-7.099674663556080304e+03,2.959689879450264627e+01
7.750500437216737376e-09,-7.100094796571272127e+03,2.907087342487425730e+01
7.792326349815967399e-09,-7.100505963568518382e+03,2.855608740806114909e+01
7.834152262415195767e-09,-7.100908402394069526e+03,2.805224209573345462e+01
7.875978175014425789e-09,-7.101302343365056004e+03,2.755904831412392397e+01
7.917804087613655812e-09,-7.101688009546000103e+03,2.707622601510788485e+01
7.959630000212885835e-09,-7.102065617013781775e+03,2.660350394189214640e+01
8.001455912812115857e-09,-7.102435375111596841e+03,2.614061930863559269e+01
8.043281825411344226e-09,-7.102797486692440543e+03,2.568731749334445169e+01
8.085107738010574248e-09,-7.103152148352563017e+03,2.524335174343175581e+01
8.126933650609804271e-09,-7.103499550655403254e+03,2.480848289335440526e+01
8.168759563209032639e-09,-7.103839878346390833e+03,2.438247909377144396e+01
8.210585475808262662e-09,-7.104173310559075617e+03,2.396511555170125618e+01
8.252411388407492684e-09,-7.104500021012937395e+03,2.355617428117224676e+01
8.294237301006722707e-09,-7.104820178203280193e+03,2.315544386389899145e+01
8.336063213605952729e-09,-7.105133945583555032e+03,2.276271921952596600e+01
8.377889126205181098e-09,-7.105441481740443123e+03,2.237780138501461380e+01
8.419715038804411120e-09,-7.105742940562031436e+03,2.200049730276622029e+01
8.461540951403641143e-09,-7.106038471399378977e+03,2.163061961709253822e+01
8.503366864002869511e-09,-7.106328219221774816e+03,2.126798647866147007e+01
8.545192776602099534e-09,-7.106612324765941594e+03,2.091242135657952517e+01
8.587018689201329556e-09,-7.106890924679471937e+03,2.056375285776283945e+01
8.628844601800559579e-09,-7.107164151658736046e+03,2.022181455329096877e+01
8.670670514399787947e-09,-7.107432134581502396e+03,1.988644481143528608e+01
8.712496426999017970e-09,-7.107694998634497097e+03,1.955748663707655055e+01
8.754322339598247993e-09,-7.107952865436106549e+03,1.923478751724114488e+01
8.796148252197478015e-09,-7.108205853154468059e+03,1.891819927248677402e+01
8.837974164796708038e-09,-7.108454076621078457e+03,1.860757791389604066e+01
8.879800077395936406e-09,-7.108697647440193577e+03,1.830278350544227095e+01
8.921625989995166429e-09,-7.108936674094101363e+03,1.800368003149289109e+01
8.963451902594396451e-09,-7.109171262044534160e+03,1.771013526924810222e+01
9.005277815193624819e-09,-7.109401513830295698e+03,1.742202066589432974e+01
