Rvals*1e9,0a1,0a1,0a1,0a1,0a1,0a1,0a1
2.396783624515347421e-09,-7.233523706054534159e+03,-6.788339914731566751e+03,-6.269761771188682360e+03,-6.735757380997374355e+01,7.564813568538507980e+02,1.026361128512005280e+03,1.096025597470129014e+03
2.438609537114577030e-09,-7.223434203679971688e+03,-6.800729605548503969e+03,-6.312459301744250297e+03,-6.781508164169220265e+01,7.134335775214037767e+02,9.732919179509871128e+02,1.039850933379593698e+03
2.480435449713806639e-09,-7.214411651224136222e+03,-6.812759013104666337e+03,-6.352380948507351604e+03,-6.787242603103553051e+01,6.736383306532143251e+02,9.238334362206124979e+02,9.874572306698125885e+02
2.522261362313036248e-09,-7.206331621325451124e+03,-6.824406131721063502e+03,-6.389747157648644134e+03,-6.760388194191826017e+01,6.367929783154982033e+02,8.776815316134859586e+02,9.385303049565193305e+02
2.564087274912265857e-09,-7.199085381706746375e+03,-6.835657429107550342e+03,-6.424757847090855648e+03,-6.707136842042760350e+01,6.026277342995651907e+02,8.345624832044419463e+02,8.927869135569557102e+02
2.605913187511495466e-09,-7.192577790022208319e+03,-6.846506058442386347e+03,-6.457594586295374938e+03,-6.632651802598053337e+01,5.709016624919265723e+02,7.942294894061451487e+02,8.499712458420016219e+02
2.647739100110725075e-09,-7.186725484188372320e+03,-6.856950413094490614e+03,-6.488422517339097794e+03,-6.541238887596992413e+01,5.413992065767710073e+02,7.564596134777474390e+02,8.098518624239250130e+02
2.689565012709954684e-09,-7.181455325492853262e+03,-6.866992959451172283e+03,-6.517392051105813152e+03,-6.436488295516925007e+01,5.139271758741381291e+02,7.210511201200017695e+02,7.722190195330731513e+02
2.731390925309184293e-09,-7.176703058018249976e+03,-6.876639295449660494e+03,-6.544640367595893622e+03,-6.321392277012757432e+01,4.883121232588977136e+02,6.878211476505083510e+02,7.368823248100363799e+02
2.773216837908413902e-09,-7.172412153258268518e+03,-6.885897392285642127e+03,-6.570292745280780764e+03,-6.198442896257912338e+01,4.643980605431389108e+02,6.566036688575791231e+02,7.036686789564118953e+02
2.815042750507643511e-09,-7.168532813365045513e+03,-6.894776984791808900e+03,-6.594463740971521474e+03,-6.069713376579684194e+01,4.420444647046950308e+02,6.272477007970296654e+02,6.724204645448151041e+02
2.856868663106873120e-09,-7.165021110360346938e+03,-6.903289082484543542e+03,-6.617258238732379141e+03,-5.936925888082974012e+01,4.211245351310315073e+02,5.996157297801292998e+02,6.429939490285138390e+02
2.898694575706102729e-09,-7.161838241964358531e+03,-6.911445578549581114e+03,-6.638772383866296877e+03,-5.801508120637073063e+01,4.015236678091281988e+02,5.735823228110094760e+02,6.152578738084008592e+02
2.940520488305332338e-09,-7.158949887526511702e+03,-6.919258938309983932e+03,-6.659094415861268317e+03,-5.664640566084064943e+01,3.831381172866973088e+02,5.490329009374007683e+02,5.890922052689703605e+02
2.982346400904561947e-09,-7.156325649954417713e+03,-6.926741952182124805e+03,-6.678305412356663510e+03,-5.527296091235075437e+01,3.658738213919584155e+02,5.258626535180939072e+02,5.643870271156354192e+02
3.024172313503791556e-09,-7.153938571591417713e+03,-6.933907540931497351e+03,-6.696479954619237105e+03,-5.390273103690734047e+01,3.496453672411327034e+02,5.039755753968863132e+02,5.410415562392684024e+02
3.065998226103021165e-09,-7.151764713742362801e+03,-6.940768603316094413e+03,-6.713686723669953608e+03,-5.254223384048052736e+01,3.343750800795471605e+02,4.832836114986655502e+02,5.189632667877417589e+02
3.107824138702250774e-09,-7.149782791037353491e+03,-6.947337898051689081e+03,-6.729989035041469833e+03,-5.119675471056031313e+01,3.199922190746469823e+02,4.637058955049660085e+02,4.980671092101653130e+02
3.149650051301480383e-09,-7.147973853092077661e+03,-6.953627953533071377e+03,-6.745445319144489986e+03,-4.987054333074072332e+01,3.064322663746741569e+02,4.451680710864974344e+02,4.782748128170787822e+02
3.191475963900709992e-09,-7.146321007004581588e+03,-6.959650999963642789e+03,-6.760109553354989657e+03,-4.856697933439638604e+01,2.936362976224091881e+02,4.276016857207457633e+02,4.595142619178815266e+02
3.233301876499939601e-09,-7.144809175149785915e+03,-6.965418919537413785e+03,-6.774031651185006922e+03,-4.728871194001686007e+01,2.815504237182586280e+02,4.109436484464804380e+02,4.417189368962103231e+02
3.275127789099169210e-09,-7.143424883518937349e+03,-6.970943211123834772e+03,-6.787257813249088031e+03,-4.603777776016028866e+01,2.701252950007594791e+02,3.951357440400503265e+02,4.248274126988235366e+02
3.316953701698398819e-09,-7.142156076521549039e+03,-6.976234966563657508e+03,-6.799830844173543483e+03,-4.481570027451231653e+01,2.593156601910602035e+02,3.801241970696189014e+02,4.087829081717043209e+02
3.358779614297628428e-09,-7.140991954739819448e+03,-6.981304856219706380e+03,-6.811790439104041070e+03,-4.362357387824492605e+01,2.490799734593029484e+02,3.658592801186002816e+02,3.935328805028414649e+02
3.400605526896858037e-09,-7.139922832614623985e+03,-6.986163121864028653e+03,-6.823173443038172081e+03,-4.246213493756687996e+01,2.393800438404688862e+02,3.522949611883525449e+02,3.790286597436183342e+02
3.442431439496087647e-09,-7.138940013460274713e+03,-6.990819575339858602e+03,-6.834014085835611695e+03,-4.133182188731984752e+01,2.301807219753949596e+02,3.393885859107124361e+02,3.652251189972174643e+02
3.484257352095317256e-09,-7.138035679563155099e+03,-6.995283601728754547e+03,-6.844344195430971922e+03,-4.023282607578043013e+01,2.214496197980060685e+02,3.271005907373978516e+02,3.520803763965071767e+02
3.526083264694546865e-09,-7.137202795425941986e+03,-6.999564165991713708e+03,-6.854193391487867302e+03,-3.916513478769189049e+01,2.131568593461628893e+02,3.153942437379823787e+02,3.395555254576603375e+02
3.567909177293776474e-09,-7.136435022481743545e+03,-7.003669822248275523e+03,-6.863589261481406538e+03,-3.812856764838417689e+01,2.052748473548699621e+02,3.042354100414617051e+02,3.276143907990281718e+02
3.609735089893006083e-09,-7.135726643828339547e+03,-7.007608725017033066e+03,-6.872557520975253283e+03,-3.712280742137734535e+01,1.977780727065982376e+02,2.935923393072018257e+02,3.162233065662921945e+02
3.651561002492235692e-09,-7.135072497726027905e+03,-7.011388641871886648e+03,-6.881122159665450454e+03,-3.614742605272540743e+01,1.906429241745248646e+02,2.834354729165396520e+02,3.053509152116742484e+02
3.693386915091465301e-09,-7.134467918769712014e+03,-7.015016967074770037e+03,-6.889305574591685399e+03,-3.520190668233041009e+01,1.838475262073284853e+02,2.737372688428546326e+02,2.949679845431381295e+02
3.735212827690694910e-09,-7.133908685788790535e+03,-7.018500735833463295e+03,-6.897128691766230986e+03,-3.428566223074333408e+01,1.773715907763292421e+02,2.644720423910174532e+02,2.850472411944809892e+02
3.777038740289924932e-09,-7.133390975652390807e+03,-7.021846638904121392e+03,-6.904611077336950984e+03,-3.339805107639674731e+01,1.711962835424311322e+02,2.556158212010864190e+02,2.755632188731722749e+02
3.818864652889154128e-09,-7.132911322263895272e+03,-7.025061037316879265e+03,-6.911771039283349637e+03,-3.253839025944754582e+01,1.653041028066153899e+02,2.471462130901127239e+02,2.664921199239030329e+02
3.860690565488383323e-09,-7.132466580120895742e+03,-7.028149977050448797e+03,-6.918625720539932445e+03,-3.170596658204705776e+01,1.596787698877001560e+02,2.390422854630836014e+02,2.578116889050289160e+02
3.902516478087613346e-09,-7.132053891896297500e+03,-7.031119203520363953e+03,-6.925191184348698698e+03,-3.090004591912625997e+01,1.543051297283547569e+02,2.312844551622463030e+02,2.495010970154786492e+02
3.944342390686843368e-09,-7.131670659565210372e+03,-7.033974175777473647e+03,-6.931482492560366154e+03,-3.011988100642953015e+01,1.491690606679965754e+02,2.238543877460122360e+02,2.415408363336142941e+02
3.986168303286072564e-09,-7.131314518661997681e+03,-7.036720080338633124e+03,-6.937513777530916741e+03,-2.936471793279868692e+01,1.442573924415960107e+02,2.167349052960200879e+02,2.339126229389554226e+02
4.027994215885301759e-09,-7.130983315303621566e+03,-7.039361844592692250e+03,-6.943298308195143363e+03,-2.863380152988570870e+01,1.395578315695008200e+02,2.099099019460667535e+02,2.265993080846385510e+02
4.069820128484531782e-09,-7.130675085660466721e+03,-7.041904149741446417e+03,-6.948848550840678399e+03,-2.792637982388059825e+01,1.350588933958851783e+02,2.033642664105994129e+02,2.195847966743400264e+02
4.111646041083761804e-09,-7.130388037594837442e+03,-7.044351443248943724e+03,-6.954176225054780843e+03,-2.724170768959644917e+01,1.307498401155460215e+02,1.970838108650371794e+02,2.128539723735838152e+02
4.153471953682991000e-09,-7.130120534221504386e+03,-7.046707950783193155e+03,-6.959292355269571090e+03,-2.657904982663696103e+01,1.266206242005153371e+02,1.910552055962358224e+02,2.063926287531199364e+02
4.195297866282220195e-09,-7.129871079174189617e+03,-7.048977687643130594e+03,-6.964207318290657895e+03,-2.593768315983653494e+01,1.226618367015636153e+02,1.852659189002592086e+02,2.001874059223011670e+02
4.237123778881450218e-09,-7.129638303387887390e+03,-7.051164469670317885e+03,-6.968930887156692734e+03,-2.531689875127805323e+01,1.188646599556572454e+02,1.797041617568126242e+02,1.942257321640533689e+02
4.278949691480680241e-09,-7.129420953229396218e+03,-7.053271923650257122e+03,-6.973472271644829561e+03,-2.471600329843322896e+01,1.152208242801110316e+02,1.743588368562238031e+02,1.884957701309264166e+02
4.320775604079909436e-09,-7.129217879828320292e+03,-7.055303497212370530e+03,-6.977840155707061967e+03,-2.413432028224528736e+01,1.117225682778947089e+02,1.692194915965412463e+02,1.829863672044896532e+02
4.362601516679138631e-09,-7.129028029477895871e+03,-7.057262468240636736e+03,-6.982042732096055261e+03,-2.357119081952428274e+01,1.083626024176997191e+02,1.642762747052594818e+02,1.776870096585486465e+02
4.404427429278368654e-09,-7.128850434990400572e+03,-7.059151953809364386e+03,-6.986087734414988518e+03,-2.302597426637561995e+01,1.051340755865695513e+02,1.595198961733811132e+02,1.725877803008736180e+02
4.446253341877598677e-09,-7.128684207904917457e+03,-7.060974918660152980e+03,-6.989982466804600335e+03,-2.249804861239440257e+01,1.020305443439273603e+02,1.549415902192766055e+02,1.676793192988192800e+02
4.488079254476827872e-09,-7.128528531457092868e+03,-7.062734183237233083e+03,-6.993733831461049704e+03,-2.198681069977883595e+01,9.904594463278817784e+01,1.505330810263469630e+02,1.629527879217298505e+02
4.529905167076057068e-09,-7.128382654230661501e+03,-7.064432431299049313e+03,-6.997348354161047610e+03,-2.149167629637859278e+01,9.617456572848570318e+01,1.462865510223166154e+02,1.583998349576800706e+02
4.571731079675287090e-09,-7.128245884419551658e+03,-7.066072217124527015e+03,-7.000832207954716978e+03,-2.101208004760480819e+01,9.341102622680240586e+01,1.421946114895818027e+02,1.540125655844084349e+02
4.613556992274517113e-09,-7.128117584637378059e+03,-7.067655972332142483e+03,-7.004191235172418601e+03,-2.054747532845197711e+01,9.075025189270701276e+01,1.382502753150575359e+02,1.497835124941609877e+02
4.655382904873746308e-09,-7.127997167218029062e+03,-7.069186012330386802e+03,-7.007430967879359741e+03,-2.009733401370823458e+01,8.818745520828854012e+01,1.344469317056336308e+02,1.457056090903411132e+02
4.697208817472975504e-09,-7.127884089957341530e+03,-7.070664542417325720e+03,-7.010556646899460247e+03,-1.966114618185449459e+01,8.571811647387362143e+01,1.307783227106528443e+02,1.417721645899215162e+02
4.739034730072205526e-09,-7.127777852251215336e+03,-7.072093663547134383e+03,-7.013573239520142124e+03,-1.923841976575882740e+01,8.333796633011839106e+01,1.272385214071776574e+02,1.379768408803801663e+02
4.780860642671435549e-09,-7.127677991590425336e+03,-7.073475377780481722e+03,-7.016485455979738617e+03,-1.882868016145712531e+01,8.104296958138232299e+01,1.238219116163668332e+02,1.343136309930867469e+02
4.822686555270664744e-09,-7.127584080376592283e+03,-7.074811593435536452e+03,-7.019297764830757842e+03,-1.843146980437604299e+01,7.882931021181367726e+01,1.205231690309022667e+02,1.307768390670885594e+02
4.864512467869893940e-09,-7.127495723027606800e+03,-7.076104129955387180e+03,-7.022014407264323381e+03,-1.804634772120365582e+01,7.669337749548841998e+01,1.173372436437102522e+02,1.273610616880366848e+02
4.906338380469123962e-09,-7.127412553344139269e+03,-7.077354722507254337e+03,-7.024639410474022952e+03,-1.767288906412331784e+01,7.463175311107936238e+01,1.142593433777121277e+02,1.240611704969082041e+02
4.948164293068353985e-09,-7.127334232111807978e+03,-7.078565026328133172e+03,-7.027176600130890620e+03,-1.731068463313918926e+01,7.264119917958642247e+01,1.112849188248268462e+02,1.208722959719846699e+02
4.989990205667583180e-09,-7.127260444916276356e+03,-7.079736620830872198e+03,-7.029629612035410901e+03,-1.695934039143995875e+01,7.071864715090600839e+01,1.084096490102036796e+02,1.177898122957307265e+02
5.031816118266812376e-09,-7.127190900150920243e+03,-7.080871013483997558e+03,-7.032001903007035253e+03,-1.661847697764915210e+01,6.886118747174813848e+01,1.056294281047057382e+02,1.148093232254876455e+02
5.073642030866042398e-09,-7.127125327198651576e+03,-7.081969643477935278e+03,-7.034296761066690124e+03,-1.628772921849147082e+01,6.706605997322202484e+01,1.029403530150219694e+02,1.119266488936474389e+02
5.115467943465272421e-09,-7.127063474771592155e+03,-7.083033885189679495e+03,-7.036517314963538411e+03,-1.596674564458161605e+01,6.533064492177729221e+01,1.003387117865909914e+02,1.091378134689686448e+02
5.157293856064501616e-09,-7.127005109393704515e+03,-7.084065051457331720e+03,-7.038666543093058863e+03,-1.565518801159629625e+01,6.365245468230332904e+01,9.782097275982694384e+01,1.064390336163370705e+02
5.199119768663730812e-09,-7.126950014013161308e+03,-7.085064396675246826e+03,-7.040747281849672618e+03,-1.535273082878347850e+01,6.202912594621035680e+01,9.538377442496600622e+01,1.038267076972184242e+02
5.240945681262960835e-09,-7.126897986732451500e+03,-7.086033119720041213e+03,-7.042762233453958288e+03,-1.505906089623284494e+01,6.045841248158109238e+01,9.302391592513015439e+01,1.012974056577026829e+02
5.282771593862190857e-09,-7.126848839645414046e+03,-7.086972366717123805e+03,-7.044713973291286493e+03,-1.477387685212953983e+01,5.893817836607869509e+01,9.073834816139961390e+01,9.884785955526130863e+01
5.324597506461420053e-09,-7.126802397771521100e+03,-7.087883233656789344e+03,-7.046604956795853468e+03,-1.449688873094961750e+01,5.746639166642658125e+01,8.852416545713639096e+01,9.647495467912303013e+01
5.366423419060649248e-09,-7.126758498078600496e+03,-7.088766768868601503e+03,-7.048437525911536795e+03,-1.422781753325238085e+01,5.604111853144415534e+01,8.637859774228071785e+01,9.417572122272385116e+01
5.408249331659879271e-09,-7.126716988586081243e+03,-7.089623975362000238e+03,-7.050213915158510645e+03,-1.396639480762804020e+01,5.466051766822004510e+01,8.429900322133089219e+01,9.194732646987992553e+01
5.450075244259109293e-09,-7.126677727541559761e+03,-7.090455813040971407e+03,-7.051936257332522473e+03,-1.371236224517271296e+01,5.332283517349759450e+01,8.228286149156444651e+01,8.978706745929035549e+01
5.491901156858338489e-09,-7.126640582664294016e+03,-7.091263200799833612e+03,-7.053606588861625823e+03,-1.346547128665242710e+01,5.202639969473099057e+01,8.032776708050749903e+01,8.769236409463225357e+01
5.533727069457567684e-09,-7.126605430449638334e+03,-7.092047018506986205e+03,-7.055226854843232104e+03,-1.322548274255851020e+01,5.076961789700241923e+01,7.843142337418576915e+01,8.566075267002784699e+01
5.575552982056797707e-09,-7.126572155529201154e+03,-7.092808108883042223e+03,-7.056798913782910859e+03,-1.299216642594413429e+01,4.955097021430047732e+01,7.659163690962412829e+01,8.368987978289202090e+01
5.617378894656027729e-09,-7.126540650081856256e+03,-7.093547279279291615e+03,-7.058324542054511767e+03,-1.276530079813711538e+01,4.836900686495100388e+01,7.480631200723969698e+01,8.177749660826145828e+01
5.659204807255256925e-09,-7.126510813291266459e+03,-7.094265303362198210e+03,-7.059805438099944695e+03,-1.254467262706427633e+01,4.722234411287747236e+01,7.307344572042356390e+01,7.992145351063260250e+01
5.701030719854486120e-09,-7.126482550845895275e+03,-7.094962922709302802e+03,-7.061243226385585331e+03,-1.233007665806539244e+01,4.610966075757192328e+01,7.139112308138636820e+01,7.811969497105521043e+01
5.742856632453716143e-09,-7.126455774478014973e+03,-7.095640848321436351e+03,-7.062639461130976088e+03,-1.212131529699197863e+01,4.502969483709212284e+01,6.975751262380990170e+01,7.637025480888827644e+01
5.784682545052946165e-09,-7.126430401538274054e+03,-7.096299762056085456e+03,-7.063995629824544267e+03,-1.191819830527912139e+01,4.398124052958257124e+01,6.817086216426056922e+01,7.467125167908531580e+01
5.826508457652175361e-09,-7.126406354603004729e+03,-7.096940317986285663e+03,-7.065313156539773445e+03,-1.172054250675233433e+01,4.296314523985581957e+01,6.662949482568072312e+01,7.302088482725237384e+01
5.868334370251404556e-09,-7.126383561111462768e+03,-7.097563143689233584e+03,-7.066593405064634680e+03,-1.152817150583357098e+01,4.197430685863341182e+01,6.513180528736025110e+01,7.141743008598204767e+01
5.910160282850634579e-09,-7.126361953030524091e+03,-7.098168841468549545e+03,-7.067837681855882693e+03,-1.134091541683547888e+01,4.101367118293140379e+01,6.367625624698027309e+01,6.985923609714208737e+01
5.951986195449864602e-09,-7.126341466544646210e+03,-7.098757989513915163e+03,-7.069047238829187336e+03,-1.115861060401403471e+01,4.008022948698894083e+01,6.226137508135148835e+01,6.834472074587213797e+01
5.993812108049093797e-09,-7.126322041769009047e+03,-7.099331143001551936e+03,-7.070223275995293989e+03,-1.098109943204177164e+01,3.917301623383679754e+01,6.088575069328015132e+01,6.687236779301053957e+01
6.035638020648322992e-09,-7.126303622483922481e+03,-7.099888835138804097e+03,-7.071366943951788926e+03,-1.080823002652471310e+01,3.829110691835559521e+01,5.954803053302523352e+01,6.544072369362460506e+01
6.077463933247553015e-09,-7.126286155888865324e+03,-7.100431578155926218e+03,-7.072479346239028018e+03,-1.063985604428741993e+01,3.743361603334511756e+01,5.824691778349014015e+01,6.404839459013209080e+01
6.119289845846783038e-09,-7.126269592374539570e+03,-7.100959864248010490e+03,-7.073561541568847133e+03,-1.047583645300013977e+01,3.659969515072287294e+01,5.698116869911326177e+01,6.269404346933043826e+01
6.161115758446012233e-09,-7.126253885311507474e+03,-7.101474166469756710e+03,-7.074614545933477530e+03,-1.031603531987975408e+01,3.578853111056692171e+01,5.574959008901446111e+01,6.137638747330785804e+01
6.202941671045241428e-09,-7.126238990854137228e+03,-7.101974939585611537e+03,-7.075639334601878545e+03,-1.016032160906359394e+01,3.499934431107668331e+01,5.455103693570564616e+01,6.009419535495757003e+01
6.244767583644471451e-09,-7.126224867758643995e+03,-7.102462620877833615e+03,-7.076636844010402456e+03,-1.000856898739939282e+01,3.423138709329504792e+01,5.338441014114608407e+01,5.884628506937703918e+01
6.286593496243701474e-09,-7.126211477214108527e+03,-7.102937630914608235e+03,-7.077607973553668671e+03,-9.860655638224889330e+00,3.348394221455917830e+01,5.224865439255786725e+01,5.763152149305441441e+01
6.328419408842930669e-09,-7.126198782685506558e+03,-7.103400374280526194e+03,-7.078553587281940963e+03,-9.716464082979204164e+00,3.275632140528428948e+01,5.114275614086918864e+01,5.644881426325741813e+01
6.370245321442159865e-09,-7.126186749767801302e+03,-7.103851240271294955e+03,-7.079474515510142737e+03,-9.575881010115232073e+00,3.204786400391450485e+01,5.006574168512285183e+01,5.529711573052715323e+01
6.412071234041389887e-09,-7.126175346050258668e+03,-7.104290603554722111e+03,-7.080371556343839075e+03,-9.438797111248167226e+00,3.135793566534682597e+01,4.901667535663413133e+01,5.417541901767659596e+01
6.453897146640619910e-09,-7.126164540990214846e+03,-7.104718824799705544e+03,-7.081245477126807600e+03,-9.305106924090869924e+00,3.068592713832616070e+01,4.799465779714088853e+01,5.308275617907887067e+01
6.495723059239849105e-09,-7.126154305795587788e+03,-7.105136251274906499e+03,-7.082097015814895713e+03,-9.174708681947628008e+00,3.003125310768733058e+01,4.699882432540346144e+01,5.201819645446472862e+01
6.537548971839078301e-09,-7.126144613315463175e+03,-7.105543217418792665e+03,-7.082926882280165955e+03,-9.047504169497864623e+00,2.939335109762968656e+01,4.602834338726125196e+01,5.098084461178500959e+01
6.579374884438308323e-09,-7.126135437938143696e+03,-7.105940045382484641e+03,-7.083735759549434079e+03,-8.923398584608062123e+00,2.877168043233957562e+01,4.508241508431924416e+01,4.996983937406658782e+01
6.621200797037538346e-09,-7.126126755496175065e+03,-7.106327045546822774e+03,-7.084524304980749548e+03,-8.802300405899540436e+00,2.816572125063680332e+01,4.416026977683893051e+01,4.898435192550190465e+01
6.663026709636767541e-09,-7.126118543177723041e+03,-7.106704517015078636e+03,-7.085293151381421922e+03,-8.684121265847776883e+00,2.757497357148984918e+01,4.326116675659271493e+01,4.802358449229212312e+01
6.704852622235996737e-09,-7.126110779443946740e+03,-7.107072748082492581e+03,-7.086042908070754493e+03,-8.568775829167984526e+00,2.699895640741357283e+01,4.238439298585482362e+01,4.708676899407302585e+01
6.746678534835226759e-09,-7.126103443951866211e+03,-7.107432016683865186e+03,-7.086774161890525647e+03,-8.456181676285227766e+00,2.643720692304377451e+01,4.152926189869879892e+01,4.617316576198426503e+01
6.788504447434456782e-09,-7.126096517482342279e+03,-7.107782590820380392e+03,-7.087487478166221990e+03,-8.346259191607702022e+00,2.588927963629026863e+01,4.069511226134081738e+01,4.528206231970886364e+01
6.830330360033685977e-09,-7.126089981872818498e+03,-7.108124728966598013e+03,-7.088183401621502526e+03,-8.238931456490595551e+00,2.535474565959139071e+01,3.988130708808353120e+01,4.441277222400018587e+01
