R_values,HFavg
1.207304108771471339e-08,1.919630363580655086e+00
1.227962678557386913e-08,1.751368351633197928e+00
1.248621248343303149e-08,1.602137770080457102e+00
1.269279818129218723e-08,1.469307568004724063e+00
1.289938387915134959e-08,1.350681632211486072e+00
1.310596957701050534e-08,1.244415610963942820e+00
1.331255527486966770e-08,1.148951604253920067e+00
1.351914097272882344e-08,1.062966496830670238e+00
1.372572667058798580e-08,9.853307924639291837e-01
1.393231236844714154e-08,9.150755933553805788e-01
1.413889806630630390e-08,8.513659434553240146e-01
1.434548376416545965e-08,7.934791786241368605e-01
1.455206946202462201e-08,7.407872420934267232e-01
1.475865515988378437e-08,6.927421601854560906e-01
1.496524085774294011e-08,6.488640518583477235e-01
1.517182655560210247e-08,6.087311815109901492e-01
1.537841225346125821e-08,5.719716685658359223e-01
1.558499795132042057e-08,5.382565476319962627e-01
1.579158364917957631e-08,5.072939353885073110e-01
1.599816934703873868e-08,4.788241090294382274e-01
1.620475504489789442e-08,4.526153393640295897e-01
1.641134074275705678e-08,4.284603518189826765e-01
1.661792644061621252e-08,4.061733123834370685e-01
1.682451213847537488e-08,3.855872542575121131e-01
1.703109783633453062e-08,3.665518755958977470e-01
1.723768353419369298e-08,3.489316500818499533e-01
1.744426923205284873e-08,3.326042008533625638e-01
1.765085492991201109e-08,3.174588952475464465e-01
1.785744062777116683e-08,3.033956236195001210e-01
1.806402632563032919e-08,2.903237307117207955e-01
1.827061202348948493e-08,2.776251637251573312e-01
1.847719772134864729e-08,2.657814723035162863e-01
1.868378341920780304e-08,2.547245659731684486e-01
1.889036911706696540e-08,2.443925800670710136e-01
1.909695481492612114e-08,2.342873354273893871e-01
1.930354051278528350e-08,2.248165905972336620e-01
1.951012621064443924e-08,2.157240646850615839e-01
1.971671190850360160e-08,2.071838867024576869e-01
1.992329760636275735e-08,1.991564602699079090e-01
2.012988330422191971e-08,1.916055244602159202e-01
2.033646900208107545e-08,1.841419487299010560e-01
2.054305469994023781e-08,1.771035604788127327e-01
2.074964039779939355e-08,1.704617906451750819e-01
2.095622609565855591e-08,1.641903455817484425e-01
2.116281179351771827e-08,1.582650000802941215e-01
2.136939749137687401e-08,1.525203244454036156e-01
