x,y,y_err_top,y_err_bot
-550,4.524441364629429,0.09199830302611006,0.09199830302611006
-520,3.6521034050680115,0.08723493079422148,0.08723493079422148
-488,2.5311423005087192,0.09042947137687639,0.09042947137687639
-462,2.9091987421589294,0.10498461120649197,0.10498461120649197
-440,3.2108768099717246,0.0999862046993053,0.0999862046993053
-405,3.8404356574952176,0.08391190259585443,0.08391190259585443
-375,2.917376788093978,0.10330774471711918,0.10330774471711918
-345,2.7073494490562253,0.1311895173019953,0.1311895173019953
-320,3.235369590030725,0.044227794488963496,0.044227794488963496
-295,3.848010143209355,0.05635340775111506,0.05635340775111506
-240,2.09089893927397,0.15690216857305217,0.15690216857305217
-220,0.8477265315742923,0.3500078952568833,0.3500078952568833
-200,0.6942956842207745,0.2525498965618405,0.2525498965618405
-180,0.9586296185258959,0.3413246797688799,0.3413246797688799
-155,1.058619294537693,0.19930519154655366,0.19930519154655366
-140,0.5113888446552463,0.7297147144272357,0.7297147144272357
-120,0.3612686435764013,0.9918929772492648,0.9918929772492648
-103,0.19266737617586627,0.862083285094078,0.862083285094078
-78,0.29350914982369836,1.0753261876356603,1.0753261876356603
-54,0.26216976778596757,0.581413438287226,0.581413438287226
-30,0.5811801594180271,0.5974278052791069,0.5974278052791069
50,0.9177400061900316,0.22060315038073142,0.22060315038073142
80,0.8572248749768759,0.24162448377052034,0.24162448377052034
105,1.0852802907014218,0.20226310650961796,0.20226310650961796
130,0.597017654907857,0.5535538856407952,0.5535538856407952
148,0.4708631696302802,0.2368508180655016,0.2368508180655016
170,0.5302617320210828,0.3622158016694768,0.3622158016694768
190,0.6292921453052878,0.3890672476607393,0.3890672476607393
215,0.8011923983805762,0.3890672476607393,0.3890672476607393
240,1.0301862723512967,0.13951329375616567,0.13951329375616567
265,0.8436835739842702,0.3383569715731734,0.3383569715731734
285,0.8326580391862209,0.3300589532399245,0.3300589532399245
305,0.9537438569291192,0.3154684412011193,0.3154684412011193
325,1.2832965505513747,0.15408781245806696,0.15408781245806696
350,1.7304034271439408,0.23114630214683118,0.23114630214683118
-2115,8.823393830479711,0.03539128582954869,0.03539128582954869
-2070,6.250190950093875,0.05095565371355979,0.05095565371355979
-2025,4.209302354695257,0.08820894465752241,0.08820894465752241
-1990,3.172657093619202,0.10224110911686389,0.10224110911686389
-1950,5.122027998070539,0.06139310120716102,0.06139310120716102
-1910,9.259274659478296,0.03746962834612488,0.03746962834612488
-1865,11.303480631492604,0.019574383691749048,0.019574383691749048
-1765,9.350043383922456,0.026136089899552732,0.026136089899552732
-1730,7.741697183521915,0.036486931355087494,0.036486931355087494
-1690,5.6705534798908275,0.06335171441529155,0.06335171441529155
-1660,4.055361376490036,0.05212008009703962,0.05212008009703962
-1625,6.040850570745823,0.05573476335779878,0.05573476335779878
-1570,7.855789576719968,0.020811855691996343,0.020811855691996343
-1525,11.541065625068997,0.01786271212418291,0.01786271212418291
-1450,12.06209404514653,0.027554932805886258,0.027554932805886258
-1375,9.860773967366809,0.014313302831780339,0.014313302831780339
-1315,7.619607295005924,0.023689710560580994,0.023689710560580994
-1250,6.096908153766273,0.019847355288167327,0.019847355288167327
-1210,5.237434087361968,0.0339958167014272,0.0339958167014272
-1170,4.201122775289629,0.03275672340457029,0.03275672340457029
-1135,3.1472733908068786,0.07752551249045349,0.07752551249045349
-1100,2.5521993881643716,0.08345573634796646,0.08345573634796646
-1080,2.0168787947980444,0.09123150789890258,0.09123150789890258
-1060,3.3484629228437064,0.08621342325651059,0.08621342325651059
-1035,5.577311050563447,0.06445314226703253,0.06445314226703253
-965,2.513830239997812,0.052035318670722336,0.052035318670722336
-940,2.513830239997812,0.10542010946950735,0.10542010946950735
-920,1.385689570182474,0.15096566908687253,0.15096566908687253
-900,2.2014468634907614,0.0520507869317945,0.0520507869317945
-880,2.5997255715467413,0.033827451592705095,0.033827451592705095
-855,3.188093447030077,0.057591462212562346,0.057591462212562346
-815,4.418404848345698,0.034569731975125986,0.034569731975125986
-750,5.69846981593964,0.07291116984179447,0.07291116984179447
