R_values,D1_avg
7.586508604321892335e+01,1.451889771946530397e-03
7.606153890905095238e+01,1.435313723645160631e-03
7.625799177488298142e+01,1.418968950002609400e-03
7.645444464071501045e+01,1.402851640810543832e-03
7.665089750654705369e+01,1.386958058195214907e-03
7.684735037237908273e+01,1.371284535063627043e-03
7.704380323821111176e+01,1.355827473586932461e-03
7.724025610404315501e+01,1.340583343720091894e-03
7.743670896987518404e+01,1.325548681756830421e-03
7.763316183570721307e+01,1.310720088918955126e-03
7.782961470153924211e+01,1.296094229979149028e-03
7.802606756737128535e+01,1.281667831916352002e-03
7.822252043320331438e+01,1.267437682602888223e-03
7.841897329903534342e+01,1.253400629522495764e-03
7.861542616486738666e+01,1.239553578518479875e-03
7.881187903069941569e+01,1.225893492571194154e-03
7.900833189653144473e+01,1.212417390604086974e-03
7.920478476236348797e+01,1.199122346317592824e-03
7.940123762819551700e+01,1.186005487050143014e-03
7.959769049402754604e+01,1.173063992665593401e-03
7.979414335985957507e+01,1.160295094466406692e-03
7.999059622569161832e+01,1.147696074131924690e-03
8.018704909152364735e+01,1.135264262681092134e-03
8.038350195735567638e+01,1.122997039459005001e-03
8.057995482318771963e+01,1.110891831146692621e-03
8.077640768901974866e+01,1.098946110793537490e-03
8.097286055485177769e+01,1.087157396871757950e-03
8.116931342068380673e+01,1.075523252352409039e-03
8.136576628651584997e+01,1.064041283802352874e-03
8.156221915234787900e+01,1.052709140501681016e-03
8.175867201817990804e+01,1.041524513581065532e-03
8.195512488401195128e+01,1.030485135178556538e-03
8.215157774984398031e+01,1.019588777615336797e-03
8.234803061567600935e+01,1.008833252589955241e-03
8.254448348150805259e+01,9.982164103905966264e-04
8.274093634734008162e+01,9.877361391249341385e-04
8.293738921317211066e+01,9.773903639671273434e-04
8.313384207900413969e+01,9.671770464215553474e-04
8.333029494483618294e+01,9.570941836028660056e-04
8.352674781066821197e+01,9.471398075319486989e-04
8.372320067650024100e+01,9.373119844474316932e-04
8.391965354233228425e+01,9.276088141323413083e-04
8.411610640816431328e+01,9.180284292555435316e-04
8.431255927399634231e+01,9.085689947276097498e-04
8.450901213982837135e+01,8.992287070707665917e-04
8.470546500566041459e+01,8.900057938025812037e-04
8.490191787149244362e+01,8.808985128330589724e-04
8.509837073732447266e+01,8.719051518748209550e-04
8.529482360315651590e+01,8.630240278660622098e-04
8.549127646898854493e+01,8.542534864059754150e-04
8.568772933482057397e+01,8.455919012023421647e-04
8.588418220065261721e+01,8.370376735310092881e-04
8.608063506648464625e+01,8.285892317069658069e-04
8.627708793231667528e+01,8.202450305667383134e-04
8.647354079814870431e+01,8.120035509618498716e-04
8.666999366398074756e+01,8.038632992630713936e-04
8.686644652981277659e+01,7.958228068752196994e-04
8.706289939564480562e+01,7.878806297622444402e-04
8.725935226147684887e+01,7.800353479823745727e-04
8.745580512730887790e+01,7.722855652330838042e-04
8.765225799314090693e+01,7.646299084056420092e-04
8.784871085897293597e+01,7.570670271490387076e-04
8.804516372480497921e+01,7.495955934430537397e-04
8.824161659063700824e+01,7.422143011802693558e-04
8.843806945646903728e+01,7.349218657568079658e-04
8.863452232230108052e+01,7.277170236716061372e-04
8.883097518813310955e+01,7.205985321340213374e-04
8.902742805396513859e+01,7.135651686795779986e-04
8.922388091979718183e+01,7.066157307936739036e-04
8.942033378562921087e+01,6.997490355430619272e-04
8.961678665146123990e+01,6.929639192149233615e-04
8.981323951729326893e+01,6.862592369633727964e-04
9.000969238312531218e+01,6.796338624632129516e-04
9.020614524895734121e+01,6.730866875707875634e-04
9.040259811478937024e+01,6.666166219917579868e-04
9.059905098062141349e+01,6.602225929556601808e-04
9.079550384645344252e+01,6.539035448970846511e-04
9.099195671228547155e+01,6.476584391433250687e-04
9.118840957811751480e+01,6.414862536083605800e-04
9.138486244394954383e+01,6.353859824930247922e-04
9.158131530978157286e+01,6.293566359912200524e-04
9.177776817561360190e+01,6.233972400020509289e-04
9.197422104144564514e+01,6.175068358477377910e-04
9.217067390727767418e+01,6.116844799971881894e-04
9.236712677310970321e+01,6.059292437950935476e-04
9.256357963894174645e+01,6.002402131964367817e-04
9.276003250477377549e+01,5.946164885062903919e-04
9.295648537060580452e+01,5.890571841247803451e-04
9.315293823643783355e+01,5.835614282971153489e-04
9.334939110226987680e+01,5.781283628685604135e-04
