R_values,HFavg
2.326472782044684542e-08,3.484850743575298448e-01
2.347131351830600778e-08,3.365134705102645341e-01
2.367789921616516352e-08,3.251121892960106563e-01
2.388448491402432588e-08,3.142511873470142936e-01
2.409107061188348162e-08,3.031280789429476874e-01
2.429765630974264398e-08,2.925115348054160846e-01
2.450424200760179972e-08,2.823757595614458382e-01
2.471082770546096208e-08,2.726964315215613666e-01
2.491741340332011783e-08,2.634506032275091281e-01
2.512399910117928019e-08,2.546166099766243862e-01
2.533058479903843593e-08,2.461739856209605171e-01
2.553717049689759829e-08,2.381033850044173006e-01
2.574375619475675403e-08,2.303865124594852154e-01
2.595034189261591639e-08,2.230060558372244373e-01
2.615692759047507214e-08,2.159456255912678424e-01
2.636351328833423450e-08,2.091896984789151093e-01
2.657009898619339024e-08,2.027235654804530884e-01
2.677668468405255260e-08,1.965332835723255234e-01
2.698327038191170834e-08,1.907341527243751056e-01
2.718985607977087070e-08,1.851833976460508513e-01
2.739644177763002645e-08,1.800097089570984465e-01
2.760302747548918881e-08,1.750585952351280394e-01
2.780961317334834455e-08,1.703194153745581363e-01
2.801619887120750691e-08,1.657820675145616207e-01
2.822278456906666265e-08,1.614369599265187694e-01
2.842937026692582501e-08,1.572749837715736454e-01
2.863595596478498737e-08,1.532874875686800198e-01
2.884254166264414312e-08,1.494662532296967272e-01
2.904912736050330548e-08,1.458034735307593699e-01
2.925571305836246122e-08,1.422917309028811361e-01
2.946229875622162358e-08,1.389239774363371926e-01
2.966888445408077932e-08,1.356935160044109301e-01
2.987547015193994168e-08,1.325939824215051077e-01
3.008205584979909742e-08,1.296193285603464973e-01
3.028864154765825978e-08,1.267638063603570286e-01
3.049522724551741553e-08,1.240219526668693700e-01
3.070181294337657789e-08,1.213885748472009612e-01
3.090839864123573363e-08,1.188587371351298022e-01
3.111498433909489599e-08,1.164277476606673523e-01
3.132157003695405173e-08,1.140911461253548143e-01
3.152815573481321409e-08,1.116188112181601966e-01
3.173474143267236984e-08,1.092370699027002123e-01
3.194132713053153220e-08,1.069419782600084939e-01
3.214791282839068794e-08,1.047297835759520152e-01
3.235449852624985030e-08,1.024875615929093098e-01
3.256108422410900604e-08,1.003239248899801817e-01
3.276766992196816840e-08,9.823554822419841570e-02
3.297425561982732415e-08,9.621926544506118062e-02
3.318084131768648651e-08,9.427206142772033559e-02
3.338742701554564225e-08,9.239106441009026227e-02
3.359401271340480461e-08,9.057353871593588901e-02
3.380059841126396035e-08,8.881687784579103684e-02
3.400718410912312271e-08,8.711859791882606285e-02
3.421376980698227846e-08,8.547633144937219485e-02
3.442035550484144082e-08,8.388782144209386282e-02
3.462694120270059656e-08,8.235091579122616468e-02
3.483352690055975892e-08,8.086356196897982740e-02
3.504011259841891466e-08,7.942380198914616996e-02
3.524669829627807702e-08,7.802976763285771056e-02
3.545328399413723276e-08,7.667967592332557147e-02
3.565986969199639512e-08,7.537182483719429005e-02
3.586645538985555087e-08,7.410458924073032305e-02
3.607304108771471323e-08,7.287641703946445837e-02
3.627962678557386897e-08,7.168582553024714643e-02
3.648621248343303133e-08,7.053139794564047826e-02
3.669279818129218707e-08,6.941178018029157959e-02
3.689938387915134943e-08,6.832567768984106060e-02
3.710596957701050518e-08,6.727185255364484529e-02
3.731255527486966754e-08,6.612059898886045450e-02
3.751914097272882328e-08,6.500101747851523559e-02
3.772572667058798564e-08,6.377143255200415362e-02
3.793231236844714138e-08,6.257400250333443326e-02
3.813889806630630374e-08,6.140765137325582268e-02
3.834548376416545949e-08,6.027134671903223301e-02
3.855206946202462185e-08,5.916409758174132755e-02
3.875865515988378421e-08,5.808495255897368204e-02
3.896524085774293995e-08,5.703299797733118320e-02
3.917182655560210231e-08,5.600735615871868522e-02
3.937841225346125805e-08,5.500718377573825257e-02
3.958499795132042041e-08,5.403167029103280589e-02
3.979158364917957616e-08,5.308003647588957485e-02
3.999816934703873852e-08,5.215153300383260082e-02
4.020475504489789426e-08,5.124543911530323598e-02
4.041134074275705662e-08,5.036106134900734249e-02
4.061792644061621236e-08,4.949773233686250579e-02
4.082451213847537472e-08,4.865480965867256119e-02
4.103109783633453046e-08,4.783167475361415483e-02
4.123768353419369282e-08,4.702773188527822196e-02
4.144426923205284857e-08,4.624240715715401823e-02
4.165085492991201093e-08,4.547514757647823369e-02
4.185744062777116667e-08,4.472542016332090725e-02
4.206402632563032903e-08,4.399271110246074507e-02
4.227061202348948477e-08,4.327652493640589404e-02
4.247719772134864713e-08,4.257638379657726485e-02
4.268378341920780288e-08,4.189182667120904674e-02
4.289036911706696524e-08,4.122240870783031030e-02
4.309695481492612098e-08,4.056770054850519780e-02
4.330354051278528334e-08,3.992728769632068048e-02
4.351012621064443908e-08,3.930076991104079764e-02
4.371671190850360144e-08,3.868776063306236801e-02
4.392329760636275719e-08,3.808788643375279198e-02
4.412988330422191955e-08,3.750078649101244721e-02
4.433646900208107529e-08,3.692611208854469640e-02
4.454305469994023765e-08,3.636352613811848211e-02
4.474964039779939339e-08,3.581270272310776992e-02
4.495622609565855575e-08,3.527332666261859956e-02
4.516281179351771811e-08,3.474509309499639043e-02
4.536939749137687386e-08,3.422770707994492179e-02
4.557598318923603622e-08,3.372088321795671528e-02
4.578256888709519196e-08,3.322434528655893865e-02
4.598915458495435432e-08,3.273782589258391468e-02
4.619574028281351006e-08,3.226106613935202094e-02
4.640232598067267242e-08,3.179381530814106432e-02
4.660891167853182816e-08,3.133583055356346098e-02
4.681549737639099052e-08,3.088687661196133638e-02
4.702208307425014627e-08,3.044672552185753722e-02
4.722866877210930863e-08,3.001515635665311099e-02
4.743525446996846437e-08,2.959195496829124597e-02
4.764184016782762673e-08,2.917691374155630818e-02
4.784842586568678247e-08,2.876983135904554942e-02
4.805501156354594483e-08,2.837051257530657372e-02
4.826159726140510058e-08,2.797876800060597469e-02
4.846818295926426294e-08,2.759441389350184709e-02
4.867476865712341868e-08,2.721727196176355890e-02
4.888135435498258104e-08,2.684716917154690227e-02
4.908794005284173678e-08,2.648393756397665263e-02
4.929452575070089914e-08,2.612741407926512383e-02
4.950111144856005489e-08,2.577744038789508974e-02
4.970769714641921725e-08,2.543386272842529036e-02
4.991428284427837299e-08,2.509653175155647509e-02
5.012086854213753535e-08,2.476530237061255399e-02
5.032745423999669109e-08,2.444003361758977783e-02
5.053403993785585345e-08,2.412058850494859866e-02
5.074062563571500919e-08,2.380683389271831193e-02
5.094721133357417156e-08,2.349864036071906692e-02
5.115379703143332730e-08,2.319588208556523645e-02
5.136038272929248966e-08,2.289843672267494884e-02
5.156696842715165202e-08,2.260618529218912098e-02
5.177355412501080776e-08,2.231901206978835137e-02
5.198013982286997012e-08,2.203680448122516747e-02
5.218672552072912586e-08,2.175945300087766751e-02
5.239331121858828822e-08,2.148685105418162572e-02
5.259989691644744397e-08,2.121889492350924333e-02
5.280648261430660633e-08,2.095548365748914690e-02
5.301306831216576207e-08,2.069651898393136402e-02
5.321965401002492443e-08,2.044190522559734963e-02
5.342623970788408017e-08,2.019154921908045477e-02
5.363282540574324253e-08,1.994536023679689685e-02
5.383941110360239828e-08,1.970324991161625725e-02
5.404599680146156064e-08,1.946513216413222822e-02
5.425258249932071638e-08,1.923092313272246889e-02
5.445916819717987874e-08,1.900054110577979391e-02
5.466575389503903448e-08,1.877390645665703503e-02
5.487233959289819684e-08,1.855094158067947460e-02
5.507892529075735259e-08,1.833157083441552468e-02
5.528551098861651495e-08,1.811572047702106683e-02
5.549209668647567069e-08,1.790331861366481828e-02
5.569868238433483305e-08,1.769429514082663732e-02
5.590526808219398879e-08,1.748858169353129793e-02
5.611185378005315115e-08,1.728611159433260033e-02
5.631843947791230689e-08,1.708681980404839693e-02
5.652502517577146926e-08,1.689064287412259807e-02
5.673161087363062500e-08,1.669751890065796635e-02
5.693819657148978736e-08,1.650738747994654268e-02
5.714478226934894310e-08,1.632018966540946248e-02
5.735136796720810546e-08,1.613586792605794379e-02
5.755795366506726120e-08,1.595436610630444202e-02
5.776453936292642356e-08,1.577562938700591971e-02
5.797112506078557931e-08,1.559960424804457228e-02
5.817771075864474167e-08,1.542623843166439010e-02
5.838429645650390403e-08,1.525548090740711654e-02
5.859088215436305977e-08,1.508728183806144589e-02
5.879746785222222213e-08,1.492159254660927262e-02
5.900405355008137787e-08,1.475836548427414928e-02
5.921063924794054023e-08,1.459755419963012536e-02
5.941722494579969598e-08,1.443911330865712585e-02
5.962381064365885834e-08,1.428299846584734321e-02
5.983039634151801408e-08,1.412916633597045488e-02
6.003698203937718306e-08,1.397757456683326217e-02
6.024356773723633880e-08,1.382818176313877108e-02
6.045015343509549454e-08,1.368094746069093044e-02
6.065673913295465029e-08,1.353583210181669161e-02
6.086332483081381926e-08,1.339279701127654536e-02
6.106991052867297501e-08,1.325180437296997679e-02
6.127649622653213075e-08,1.311281720754306143e-02
6.148308192439128649e-08,1.297579935036386085e-02
6.168966762225045547e-08,1.284071543024832909e-02
6.189625332010961121e-08,1.270753084912535497e-02
6.210283901796876695e-08,1.257621176187428448e-02
6.230942471582792270e-08,1.244672505705576165e-02
6.251601041368709168e-08,1.231903833806023349e-02
6.272259611154624742e-08,1.219311990499085882e-02
6.292918180940540316e-08,1.206893873677607372e-02
6.313576750726455890e-08,1.194646447427927423e-02
6.334235320512372788e-08,1.182566740332967326e-02
6.354893890298288362e-08,1.170651843870170079e-02
6.375552460084203937e-08,1.158898910837874614e-02
6.396211029870119511e-08,1.147305153827094144e-02
6.416869599656036409e-08,1.135867843728866240e-02
6.437528169441951983e-08,1.124584308312748075e-02
6.458186739227867557e-08,1.113451930812179441e-02
6.478845309013783132e-08,1.102468148577759842e-02
6.499503878799700029e-08,1.091630451750259280e-02
6.520162448585615604e-08,1.080936381969473288e-02
6.540821018371531178e-08,1.070383531138119175e-02
6.561479588157446752e-08,1.059969540199879809e-02
6.582138157943363650e-08,1.049692097972486707e-02
6.602796727729279224e-08,1.039548939992932311e-02
6.623455297515194799e-08,1.029537847395288301e-02
6.644113867301110373e-08,1.019656645845922437e-02
6.664772437087027271e-08,1.009903204476965410e-02
6.685431006872942845e-08,1.000275434853999112e-02
6.706089576658858419e-08,9.907712900038423073e-03
