R_values,HFavg
2.367789921616516352e-08,2.912357494969149974e-01
2.388448491402432588e-08,2.812621286410331156e-01
2.409107061188348162e-08,2.719173456111908527e-01
2.429765630974264398e-08,2.629927012212832649e-01
2.450424200760179972e-08,2.544674990680462212e-01
2.471082770546096208e-08,2.463221327750329537e-01
2.491741340332011783e-08,2.385380209646741911e-01
2.512399910117928019e-08,2.310975471290920014e-01
2.533058479903843593e-08,2.239840039548893214e-01
2.553717049689759829e-08,2.171815416972021073e-01
2.574375619475675403e-08,2.106751202331489659e-01
2.595034189261591639e-08,2.044504644592461673e-01
2.615692759047507214e-08,1.984940227278393365e-01
2.636351328833423450e-08,1.927929280459292904e-01
2.657009898619339024e-08,1.873349617868205474e-01
2.677668468405255260e-08,1.821085196900723846e-01
2.698327038191170834e-08,1.771025799466877659e-01
2.718985607977087070e-08,1.723066731891186587e-01
2.739644177763002645e-08,1.677108542237388533e-01
2.760302747548918881e-08,1.633056753620703572e-01
2.780961317334834455e-08,1.590821612222866888e-01
2.801619887120750691e-08,1.550317848876484605e-01
2.822278456906666265e-08,1.511464453208009318e-01
2.842937026692582501e-08,1.474184459452998197e-01
2.863595596478498737e-08,1.438404743152149057e-01
2.884254166264414312e-08,1.404055828028813457e-01
2.904912736050330548e-08,1.373213730817270384e-01
2.925571305836246122e-08,1.343645173973210816e-01
2.946229875622162358e-08,1.313869067166289484e-01
2.966888445408077932e-08,1.285281488278886275e-01
2.987547015193994168e-08,1.257828153179494923e-01
3.008205584979909742e-08,1.231457476993739059e-01
3.028864154765825978e-08,1.204297885340904900e-01
3.049522724551741553e-08,1.178169643114674037e-01
3.070181294337657789e-08,1.153026964747658756e-01
3.090839864123573363e-08,1.128826316243954214e-01
3.111498433909489599e-08,1.105526299786892125e-01
3.132157003695405173e-08,1.083087544076236919e-01
3.152815573481321409e-08,1.061472600152825463e-01
3.173474143267236984e-08,1.040645842456332792e-01
3.194132713053153220e-08,1.020573374889473806e-01
3.214791282839068794e-08,1.001222941662525817e-01
3.235449852624985030e-08,9.825638426965115080e-02
3.256108422410900604e-08,9.645668533828374858e-02
3.276766992196816840e-08,9.472041484904257513e-02
3.297425561982732415e-08,9.304492300287134365e-02
3.318084131768648651e-08,9.142768588789161599e-02
3.338742701554564225e-08,8.986629900065606913e-02
3.359401271340480461e-08,8.835847110878683464e-02
3.380059841126396035e-08,8.690201843760442246e-02
3.400718410912312271e-08,8.549485916445381806e-02
3.421376980698227846e-08,8.413500820557907878e-02
3.442035550484144082e-08,8.282057228059330756e-02
3.462694120270059656e-08,8.154974523972510769e-02
3.483352690055975892e-08,8.032080364095518787e-02
3.504011259841891466e-08,7.913210256292574352e-02
3.524669829627807702e-08,7.776786880358289855e-02
3.545328399413723276e-08,7.644365840249095490e-02
3.565986969199639512e-08,7.492372021961836437e-02
3.586645538985555087e-08,7.344534604830704749e-02
3.607304108771471323e-08,7.200709114026217217e-02
3.627962678557386897e-08,7.060757101726379548e-02
3.648621248343303133e-08,6.924545858713110347e-02
3.669279818129218707e-08,6.791948141201681333e-02
3.689938387915134943e-08,6.662841912065355088e-02
3.710596957701050518e-08,6.537110095582140956e-02
3.731255527486966754e-08,6.414640345018496337e-02
3.751914097272882328e-08,6.295324822319266211e-02
3.772572667058798564e-08,6.179059989183399715e-02
3.793231236844714138e-08,6.065746408926933619e-02
3.813889806630630374e-08,5.955288558555221073e-02
3.834548376416545949e-08,5.847594650414954243e-02
3.855206946202462185e-08,5.742576462960664180e-02
3.875865515988378421e-08,5.640149180100347687e-02
3.896524085774293995e-08,5.540231238628171712e-02
3.917182655560210231e-08,5.442744183373975086e-02
3.937841225346125805e-08,5.347612529538219028e-02
3.958499795132042041e-08,5.254763631925509632e-02
3.979158364917957616e-08,5.164127560636884440e-02
3.999816934703873852e-08,5.075636982894565080e-02
4.020475504489789426e-08,4.989227050669504254e-02
4.041134074275705662e-08,4.904835293784096800e-02
4.061792644061621236e-08,4.822401518214389921e-02
4.082451213847537472e-08,4.741867709312321683e-02
4.103109783633453046e-08,4.663177939665379829e-02
4.123768353419369282e-08,4.586278281382458188e-02
4.144426923205284857e-08,4.511116722538578011e-02
4.165085492991201093e-08,4.437643087586130852e-02
4.185744062777116667e-08,4.365808961520536990e-02
4.206402632563032903e-08,4.295567617570252711e-02
4.227061202348948477e-08,4.226873948307597467e-02
4.247719772134864713e-08,4.159684399897787405e-02
4.268378341920780288e-08,4.093956909426556962e-02
4.289036911706696524e-08,4.029650845069441406e-02
4.309695481492612098e-08,3.966726949009979908e-02
4.330354051278528334e-08,3.905147282975806461e-02
4.351012621064443908e-08,3.844875176171873993e-02
4.371671190850360144e-08,3.785875175591048997e-02
4.392329760636275719e-08,3.728112998566454617e-02
4.412988330422191955e-08,3.671555487382176242e-02
4.433646900208107529e-08,3.616170565935617615e-02
4.454305469994023765e-08,3.561927198279590812e-02
4.474964039779939339e-08,3.508795348987427815e-02
4.495622609565855575e-08,3.456745945228967970e-02
4.516281179351771811e-08,3.405750840539541191e-02
4.536939749137687386e-08,3.355782780071881605e-02
4.557598318923603622e-08,3.306815367388345889e-02
4.578256888709519196e-08,3.258823032673616171e-02
4.598915458495435432e-08,3.211781002253274314e-02
4.619574028281351006e-08,3.165665269443706381e-02
4.640232598067267242e-08,3.120452566574363068e-02
4.660891167853182816e-08,3.076120338240753010e-02
4.681549737639099052e-08,3.032646715607515905e-02
4.702208307425014627e-08,2.990010491809170362e-02
4.722866877210930863e-08,2.948191098342889394e-02
4.743525446996846437e-08,2.907168582453183159e-02
4.764184016782762673e-08,2.866923585388239312e-02
4.784842586568678247e-08,2.827437321573620169e-02
4.805501156354594483e-08,2.788691558632454270e-02
4.826159726140510058e-08,2.750668598180170885e-02
4.846818295926426294e-08,2.713351257361527880e-02
4.867476865712341868e-08,2.676722851174305820e-02
4.888135435498258104e-08,2.640767175477136755e-02
4.908794005284173678e-08,2.605468490631176331e-02
4.929452575070089914e-08,2.570811505801328875e-02
4.950111144856005489e-08,2.536781363876147027e-02
4.970769714641921725e-08,2.503363626938602537e-02
4.991428284427837299e-08,2.470544262353396164e-02
5.012086854213753535e-08,2.438309629301161144e-02
5.032745423999669109e-08,2.406646465918769323e-02
5.053403993785585345e-08,2.375541876852164946e-02
5.074062563571500919e-08,2.344983321315148583e-02
5.094721133357417156e-08,2.314958601604033550e-02
5.115379703143332730e-08,2.285455852003378391e-02
5.136038272929248966e-08,2.256463528125365187e-02
5.156696842715165202e-08,2.227970396644858228e-02
5.177355412501080776e-08,2.199965525435991151e-02
5.198013982286997012e-08,2.172438274001813052e-02
5.218672552072912586e-08,2.145378284330496169e-02
5.239331121858828822e-08,2.118775471999806426e-02
5.259989691644744397e-08,2.092620017708246918e-02
5.280648261430660633e-08,2.066902358997757538e-02
5.301306831216576207e-08,2.041613182361771278e-02
5.321965401002492443e-08,2.016743415560546399e-02
5.342623970788408017e-08,1.992284220289739297e-02
5.363282540574324253e-08,1.968226985016506905e-02
5.383941110360239828e-08,1.944563318143811836e-02
5.404599680146156064e-08,1.921285041368752874e-02
5.425258249932071638e-08,1.898384183282079279e-02
5.445916819717987874e-08,1.875852973187109099e-02
5.466575389503903448e-08,1.853683835163646640e-02
5.487233959289819684e-08,1.831869382267204555e-02
5.507892529075735259e-08,1.810402410982431959e-02
5.528551098861651495e-08,1.789275895852268997e-02
5.549209668647567069e-08,1.768482984277431475e-02
5.569868238433483305e-08,1.748016991489490662e-02
5.590526808219398879e-08,1.727871395731670964e-02
5.611185378005315115e-08,1.708039833521396086e-02
5.631843947791230689e-08,1.688516095155922700e-02
5.652502517577146926e-08,1.669294120306010626e-02
5.673161087363062500e-08,1.650367993766894276e-02
5.693819657148978736e-08,1.631731941393405050e-02
5.714478226934894310e-08,1.613380326085619293e-02
5.735136796720810546e-08,1.595307643983238585e-02
5.755795366506726120e-08,1.577508520742839163e-02
5.776453936292642356e-08,1.559977707941773845e-02
5.797112506078557931e-08,1.542710079572574486e-02
5.817771075864474167e-08,1.525700628702974376e-02
5.838429645650390403e-08,1.508944464205095107e-02
5.859088215436305977e-08,1.492436807602306841e-02
5.879746785222222213e-08,1.476172989979754324e-02
5.900405355008137787e-08,1.460148449045677553e-02
5.921063924794054023e-08,1.444358726258867902e-02
5.941722494579969598e-08,1.428799464046626340e-02
5.962381064365885834e-08,1.413466403072909626e-02
5.983039634151801408e-08,1.398355379678944965e-02
6.003698203937718306e-08,1.383462323314637796e-02
6.024356773723633880e-08,1.368783254093266198e-02
6.045015343509549454e-08,1.354314280389403227e-02
6.065673913295465029e-08,1.340051596565405671e-02
6.086332483081381926e-08,1.325991480702169191e-02
6.106991052867297501e-08,1.312130292445982775e-02
6.127649622653213075e-08,1.298464470887160729e-02
6.148308192439128649e-08,1.284990532513342193e-02
6.168966762225045547e-08,1.271705069253180852e-02
6.189625332010961121e-08,1.258604746507118767e-02
6.210283901796876695e-08,1.245686301305492377e-02
