R_values,C3
4.963963963963963388e-09,-7.335077674943883608e+01
5.063063063063062704e-09,-6.912745481744205733e+01
5.162162162162162020e-09,-6.522223063501783713e+01
5.261261261261261336e-09,-6.160571074476868603e+01
5.360360360360359824e-09,-5.825170165531165622e+01
5.459459459459459140e-09,-5.513681067438695749e+01
5.558558558558558456e-09,-5.224010264848251239e+01
5.657657657657657772e-09,-4.954280395204245480e+01
5.756756756756756260e-09,-4.702804653350635533e+01
5.855855855855855576e-09,-4.468064602174024458e+01
5.954954954954954892e-09,-4.248690887745522105e+01
6.054054054054053380e-09,-4.043446438154236944e+01
6.153153153153152696e-09,-3.851211791890433744e+01
6.252252252252252012e-09,-3.670972256865849914e+01
6.351351351351351328e-09,-3.501806647059339639e+01
6.450450450450449816e-09,-3.342877382041088197e+01
6.549549549549549132e-09,-3.193421766622817870e+01
6.648648648648648448e-09,-3.052744294709484763e+01
6.747747747747747764e-09,-2.920209843986559051e+01
6.846846846846846252e-09,-2.795237647096974953e+01
6.945945945945945568e-09,-2.677295941039955096e+01
7.045045045045044884e-09,-2.565897210149879371e+01
7.144144144144144200e-09,-2.460593949589405582e+01
7.243243243243242688e-09,-2.360974886149208274e+01
7.342342342342342004e-09,-2.266661601561192541e+01
7.441441441441441320e-09,-2.177305510730664651e+01
7.540540540540540636e-09,-2.092585153464666803e+01
7.639639639639639952e-09,-2.012203763576448878e+01
7.738738738738739267e-09,-1.935887083811508447e+01
7.837837837837838583e-09,-1.863381398979261760e+01
7.936936936936936245e-09,-1.794451763078967588e+01
8.036036036036035560e-09,-1.728880399156986414e+01
8.135135135135134876e-09,-1.666465253190763107e+01
8.234234234234234192e-09,-1.607018685518586310e+01
8.333333333333333508e-09,-1.550366285270578715e+01
8.432432432432432823e-09,-1.496345794945325558e+01
8.531531531531532139e-09,-1.444806133752300781e+01
8.630630630630631455e-09,-1.395606509631756609e+01
8.729729729729730771e-09,-1.348615610995818059e+01
8.828828828828830087e-09,-1.303710870228434437e+01
8.927927927927927748e-09,-1.260777791855735508e+01
9.027027027027027064e-09,-1.219709339067890319e+01
9.126126126126126380e-09,-1.180405372952213661e+01
9.225225225225225695e-09,-1.142772139396556597e+01
9.324324324324325011e-09,-1.106721799152052910e+01
9.423423423423424327e-09,-1.072171997013617784e+01
9.522522522522523643e-09,-1.039045466492791903e+01
9.621621621621621304e-09,-1.007269666727039592e+01
9.720720720720720620e-09,-9.767764486981215910e+00
9.819819819819819936e-09,-9.475017481245911810e+00
9.918918918918919252e-09,-9.193853026540368845e+00
1.001801801801801857e-08,-8.923703912132612714e+00
1.011711711711711788e-08,-8.664035935822814949e+00
1.021621621621621720e-08,-8.414345684438217177e+00
1.031531531531531651e-08,-8.174158483263099129e+00
1.041441441441441418e-08,-7.943026500074696017e+00
1.051351351351351349e-08,-7.720526990793832312e+00
1.061261261261261281e-08,-7.506260674960823387e+00
1.071171171171171212e-08,-7.299850230327487921e+00
1.081081081081081144e-08,-7.100938896828940194e+00
1.090990990990991076e-08,-6.909189181075028330e+00
1.100900900900901007e-08,-6.724281653291572347e+00
1.110810810810810773e-08,-6.545913829355124669e+00
1.120720720720720705e-08,-6.373799131209511692e+00
1.130630630630630636e-08,-6.207665919535666710e+00
1.140540540540540568e-08,-6.047256593073925046e+00
1.150450450450450500e-08,-5.892326749476361591e+00
1.160360360360360431e-08,-5.742644403000343623e+00
1.170270270270270363e-08,-5.597989254748237720e+00
1.180180180180180294e-08,-5.458152011515729818e+00
1.190090090090090060e-08,-5.322933749636399980e+00
1.199999999999999992e-08,-5.192145320506001305e+00
1.209909909909909924e-08,-5.065606794739332841e+00
1.219819819819819855e-08,-4.943146942158068491e+00
1.229729729729729787e-08,-4.824602745031878470e+00
1.239639639639639718e-08,-4.709818942199601288e+00
1.249549549549549650e-08,-4.598647601883884661e+00
1.259459459459459416e-08,-4.490947721183453645e+00
1.269369369369369348e-08,-4.386584850383263401e+00
1.279279279279279279e-08,-4.285430740365765878e+00
1.289189189189189211e-08,-4.187363011537436286e+00
1.299099099099099142e-08,-4.092264842804773650e+00
1.309009009009009074e-08,-4.000024679244103432e+00
1.318918918918919006e-08,-3.910535957210593327e+00
1.328828828828828937e-08,-3.823696845724763538e+00
1.338738738738738703e-08,-3.739410003060132492e+00
1.348648648648648635e-08,-3.657582347534111378e+00
1.358558558558558566e-08,-3.578124841576587389e+00
1.368468468468468498e-08,-3.500952288217072272e+00
1.378378378378378430e-08,-3.425983139192710691e+00
1.388288288288288361e-08,-3.353139313935917354e+00
1.398198198198198293e-08,-3.282346028752586076e+00
1.408108108108108059e-08,-3.213531635549976784e+00
1.418018018018017990e-08,-3.146627469517833564e+00
1.427927927927927922e-08,-3.081567705207444163e+00
1.437837837837837854e-08,-3.018289220491279234e+00
1.447747747747747785e-08,-2.956731467921099643e+00
1.457657657657657717e-08,-2.896836353034915490e+00
1.467567567567567648e-08,-2.838548119193365249e+00
1.477477477477477580e-08,-2.781813238554016632e+00
1.487387387387387346e-08,-2.726580308817994514e+00
1.497297297297297112e-08,-2.672799955407385575e+00
1.507207207207207209e-08,-2.620424738754182137e+00
1.517117117117116975e-08,-2.569409066402233766e+00
1.527027027027027072e-08,-2.519709109642904732e+00
1.536936936936936839e-08,-2.471282724423092159e+00
1.546846846846846936e-08,-2.424089376280801567e+00
1.556756756756756702e-08,-2.378090069079051627e+00
1.566666666666666468e-08,-2.333247277323214242e+00
1.576576576576576565e-08,-2.289524881860368399e+00
1.586486486486486331e-08,-2.246888108771732728e+00
1.596396396396396097e-08,-2.205303471280865235e+00
1.606306306306306194e-08,-2.164738714511264650e+00
1.616216216216215960e-08,-2.125162762937062855e+00
1.626126126126126057e-08,-2.086545670380012929e+00
1.636036036036035823e-08,-2.048858572414822721e+00
1.645945945945945920e-08,-2.012073641053085282e+00
1.655855855855855687e-08,-1.976164041583857722e+00
1.665765765765765784e-08,-1.941103891456054997e+00
1.675675675675675550e-08,-1.906868221094677907e+00
1.685585585585585316e-08,-1.873432936549110917e+00
1.695495495495495413e-08,-1.840774783877709542e+00
1.705405405405405179e-08,-1.808871315178396610e+00
1.715315315315315276e-08,-1.777700856180164601e+00
1.725225225225225042e-08,-1.747242475315279542e+00
1.735135135135135139e-08,-1.717475954196484134e+00
1.745045045045044905e-08,-1.688381759427829865e+00
1.754954954954954672e-08,-1.659941015681714926e+00
1.764864864864864769e-08,-1.632135479978525261e+00
1.774774774774774535e-08,-1.604947517108768595e+00
1.784684684684684632e-08,-1.578360076140923107e+00
1.794594594594594398e-08,-1.552356667961352965e+00
1.804504504504504495e-08,-1.526921343795541564e+00
1.814414414414414261e-08,-1.502038674662694584e+00
1.824324324324324027e-08,-1.477693731718303205e+00
1.834234234234234124e-08,-1.453872067441746685e+00
1.844144144144143890e-08,-1.430559697628277283e+00
1.854054054054053987e-08,-1.407743084146890311e+00
1.863963963963963753e-08,-1.385409118427653574e+00
1.873873873873873850e-08,-1.363545105643928279e+00
1.883783783783783617e-08,-1.342138749556785804e+00
1.893693693693693383e-08,-1.321178137990571821e+00
1.903603603603603480e-08,-1.300651728910217964e+00
1.913513513513513246e-08,-1.280548337072390908e+00
1.923423423423423343e-08,-1.260857121224006061e+00
1.933333333333333109e-08,-1.241567571822994376e+00
1.943243243243243206e-08,-1.222669499257460490e+00
1.953153153153152972e-08,-1.204153022540607409e+00
1.963063063063063069e-08,-1.186008558459899609e+00
1.972972972972972835e-08,-1.168226811160058221e+00
1.982882882882882602e-08,-1.150798762140449627e+00
1.992792792792792699e-08,-1.133715660648430656e+00
2.002702702702702465e-08,-1.116969014451096420e+00
2.012612612612612562e-08,-1.100550580968742587e+00
2.022522522522522328e-08,-1.084452358754178780e+00
2.032432432432432425e-08,-1.068666579302777198e+00
2.042342342342342191e-08,-1.053185699178899259e+00
2.052252252252251957e-08,-1.038002392445001254e+00
2.062162162162162054e-08,-1.023109543380403164e+00
2.072072072072071820e-08,-1.008500239477308824e+00
2.081981981981981917e-08,-9.941677647022517661e-01
2.091891891891891683e-08,-9.801055930117144044e-01
2.101801801801801780e-08,-9.663073821111742845e-01
