x,y,y_err_top,y_err_bot
0.1,6.234098144983498e-12,2.2122309150034256e-12,2.2122309150034256e-12
0.5,2.1287967569160252e-11,6.007342206607809e-12,6.007342206607809e-12
1.0,3.0654550689357616e-11,7.742910745249603e-12,7.742910745249603e-12
2.0,4.3028700070098514e-11,1.4063927143811847e-11,1.4063927143811847e-11
3.0,3.0654550689357616e-11,7.742910745249603e-12,7.742910745249603e-12
