Rvals*1e9, Energy (GHz)
6.124365439764169849e+01,-3.905775583571324816e-02
6.156041913435907986e+01,-3.845792721650864721e-02
6.187718387107646123e+01,-3.787031846173416483e-02
6.219394860779382839e+01,-3.729461996674254820e-02
6.251071334451120975e+01,-3.673053149242822002e-02
6.282747808122859112e+01,-3.617776183635745824e-02
6.314424281794595828e+01,-3.563602851703873142e-02
6.346100755466333965e+01,-3.510505747073100480e-02
6.377777229138072101e+01,-3.458458276023756994e-02
6.409453702809810238e+01,-3.407434629516892244e-02
6.441130176481546243e+01,-3.357409756313600724e-02
6.472806650153285091e+01,-3.308359337143595980e-02
6.504483123825022517e+01,-3.260259759874095664e-02
6.536159597496759943e+01,-3.213088095637184338e-02
6.567836071168497369e+01,-3.166822075873332309e-02
6.599512544840236217e+01,-3.121440070253145294e-02
6.631189018511973643e+01,-3.076921065437510094e-02
6.662865492183711069e+01,-3.033244644642962839e-02
6.694541965855448495e+01,-2.990390967975908865e-02
6.726218439527187343e+01,-2.948340753504874456e-02
6.757894913198924769e+01,-2.907075259039038073e-02
6.789571386870662195e+01,-2.866576264583464706e-02
6.821247860542399621e+01,-2.826826055443243391e-02
6.852924334214138469e+01,-2.787807405950060158e-02
6.884600807885874474e+01,-2.749503563783584070e-02
6.916277281557613321e+01,-2.711898234866483293e-02
6.947953755229350747e+01,-2.674975568806248205e-02
6.979630228901089595e+01,-2.638720144864326045e-02
7.011306702572825600e+01,-2.603116958429341210e-02
7.042983176244564447e+01,-2.568151407975438616e-02
7.074659649916301873e+01,-2.533809282485055547e-02
7.106336123588040721e+01,-2.500076749318314029e-02
7.138012597259776726e+01,-2.466940342512113915e-02
7.169689070931515573e+01,-2.434386951489297957e-02
7.201365544603252999e+01,-2.402403810164832620e-02
7.233042018274990426e+01,-2.370978486431063459e-02
7.264718491946727852e+01,-2.340098872008855579e-02
7.296394965618466699e+01,-2.309753172648942865e-02
7.328071439290204125e+01,-2.279929898671317900e-02
7.359747912961941552e+01,-2.250617855828673797e-02
7.391424386633678978e+01,-2.221806136481463412e-02
7.423100860305417825e+01,-2.193484111073562559e-02
7.454777333977155251e+01,-2.165641419896102704e-02
7.486453807648892678e+01,-2.138267965128770598e-02
7.518130281320630104e+01,-2.111353903148449618e-02
7.549806754992368951e+01,-2.084889637095121984e-02
7.581483228664104956e+01,-2.058865809684595760e-02
7.613159702335843804e+01,-2.033273296260285079e-02
7.644836176007581230e+01,-2.008103198073740714e-02
7.676512649679320077e+01,-1.983346835786292672e-02
7.708189123351056082e+01,-1.958995743183233884e-02
7.739865597022794930e+01,-1.935041661093661602e-02
7.771542070694532356e+01,-1.911476531506961507e-02
7.803218544366271203e+01,-1.888292491879584034e-02
7.834895018038007208e+01,-1.865481869626295364e-02
7.866571491709746056e+01,-1.843037176786710418e-02
7.898247965381483482e+01,-1.820951104863421932e-02
7.929924439053220908e+01,-1.799216519823554350e-02
7.961600912724958334e+01,-1.777826457259479298e-02
7.993277386396695761e+01,-1.756774117701942473e-02
8.024953860068434608e+01,-1.736052862080850190e-02
8.056630333740170613e+01,-1.715656207327631577e-02
